area	name	description
lambeth-contaminated-land:258	74-75a Emmanuel Road London	disused 500 gallon external oil tank on the boundary of 75 signs of leakage believed to be used as a repository for engine sump oil. At time of investigation 1994 = lock up garage and car workshops. Contamination of hydrocarbon fuels present in proximity.
lambeth-contaminated-land:259	Polygon Garage, Clapham	Residential terraced housing. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:260	Polygon Garage, Clapham	No noticeable changes from 1870, however a Tramway Depot is shown approx 400m SE of the Polygon (scale 15".1 mile). Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:261	Polygon Garage, Clapham	The Polygon still residential. 70m to West = Optical Works, 100m North = Laundry 70m north-east = Clapham Hall printing works, 70m South East = Windsor Works Haberdashery. Majority of surrounding area still residential. Source Laing Homes Ltd, Geo-Enviro
lambeth-contaminated-land:262	Polygon Garage, Clapham	1954: The Polygon subject to wartime bombing.  Established as a petrol filling station with showrooms East 10m = Downers lane Engineering Works. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:263	Polygon Garage, Clapham	no significant changes.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:264	Courtney House, New Park Road,	There are no records to show what works were carried out to seal and/or remove the underground fuel tanks.
lambeth-contaminated-land:265	Electricity site Curtis Field Road, off Valley Road, Streatham	Site was occupied by fields and an orchard, with sheds.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:266	Electricity site Curtis Field Road, off Valley Road, Streatham	site likely to have been used as a workshop and substation from that time to the present day.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:267	Electricity site Curtis Field Road, off Valley Road, Streatham	The use of the site as an electrical substation, workshop and associated buildings are likely to have caused localized ground contamination.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:268	Electricity site Curtis Field Road, off Valley Road, Streatham	The presence of transformers  can be of concern on land owned by electrical utility companies, particularly contamination by PCBs and mineral oil.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:269	Electricity site Curtis Field Road, off Valley Road, Streatham	A large building to the south of the site was labeled as an Electricity Sub-station.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:270	Electricity site Curtis Field Road, off Valley Road, Streatham	No significant changes to the site or the surrounding area.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:271	Electricity site Curtis Field Road, off Valley Road, Streatham	Whilst there has been a gradual development of residential property, there has been no further industrial developments in the locality.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:272	Electricity site Curtis Field Road, off Valley Road, Streatham	The risk of significant contamination being on the site is low. The higher risk area is the former electricity substation, particularly with regard to contamination by PCB's and mineral oil from potentially leaking transformers. There may be contamination
lambeth-contaminated-land:273	Electricity site Curtis Field Road, off Valley Road, Streatham	There are no surface water bodies near the site and therefore no identified risk of surface water pollution.  Source Phase 1 Desk Based Environmental Review, Taywood Engineering March 2001
lambeth-contaminated-land:274	51 Curtis Field Road, Streatham	Former London Electricity Substation.
lambeth-contaminated-land:275	51 Curtis Field Road, Streatham	Demolition of existing buildings and the erection of a 4 storey buildings
lambeth-contaminated-land:276	51 Curtis Field Road, Streatham	Survey repair showed that the site is contaminated with hydrocarbons and PCB's, the latter being potentially harmful to health. It was not known whether the hydrocarbons were distributed on the site as hotspots or as more widespread contamination. The PCB
lambeth-contaminated-land:277	51 Curtis Field Road, Streatham	Amount of contamination is believed to be fairly small in area and probably emanates from the past use of the site as an electricity store/depot.
lambeth-contaminated-land:278	51 Curtis Field Road, Streatham	It was recommended that levels of hydrocarbon contamination should be excavated and removed from the site. The skim of oily material on parts of the foundation slabs of the former transformer bays should be collected and disposed of as special waste.
lambeth-contaminated-land:279	51 Curtis Field Road, Streatham	The study did not identify a significant potential for environmental liability from the site in terms of on-site migration of contaminants, but the topography of the surrounding area means that off-site migration of hydrocarbons towards the south cannot b
lambeth-contaminated-land:280	51 Curtis Field Road, Streatham	It was expressed in the investigation that locally perched water above the clay  could exist, and in theory could be contaminated with hydrocarbons.
lambeth-contaminated-land:281	237 Brixton Hill, London	ground/groundwater contamination was revealed by the geochemical tests. Source, Letter from Mr Colin Stanbury to Devonshires, Solicitors, 13 November 1998. Also RPS Consultants Investigation report 5 June 2002, Hert & Essex Site Investigation 11 February
lambeth-contaminated-land:282	237 Brixton Hill, London	Elevated concentrations of arsenic, lead and mercury were discovered in the main ground. The H&E did not consider this contamination to be significant. Mercury contamination was far below the guidance value and is therefore not of concern. Source, Letter
lambeth-contaminated-land:283	237 Brixton Hill, London	Further sampling was recommended of the fill material to determine the extent of the contamination. Source, Letter y to Devonshires, Solicitors, 13 November 1998. Also RPS Consultants Investigation report 5 June 2002, Hert & Essex Site Investigations
lambeth-contaminated-land:284	237 Brixton Hill, London	The water was considered to be slightly contaminated and it was recommended to be removed from the site. The groundwater sample contains of Benzo[a]pyrene and TPH in excess of Dutch Intervention Values. The limits of benzo[k]flouranthene and d
lambeth-contaminated-land:285	237 Brixton Hill, London	No evidence of significant oil contamination was found around the interceptor, although we have not been provided with any evidence to confirm this. Source, Letter from Mr Colin Stanbury to Devonshires, Solicitors, 13 November 1998. Also RPS Consultants
lambeth-contaminated-land:286	237 Brixton Hill, London	Using domestic garden guidelines in conjunction with the ICRCL, the following contaminants were in excess: lead and sulphate, PAH and Boron and copper. Source, Letter  to Devonshires, Solicitors, 13 November 1998. Also RPS Consultant
lambeth-contaminated-land:287	237 Brixton Hill, London	No leachability test were conducted to confirm whether the contamination is likely to be mobile. As noted, there was slight hydrocarbon contamination in the one groundwater sample. Source, Letter from Mr Colin Stanbury to Devonshires, Solicitors, 13 Novem
lambeth-contaminated-land:288	237 Brixton Hill, London	In conclusion it was expressed that the contamination detected was relatively minor and any significant risks to site occupiers, and could be removed. Source, Letter from Mr Colin Stanbury to Devonshires, Solicitors, 13 November 1998. Also RPS Consultants
lambeth-contaminated-land:289	237 Brixton Hill, London	The garage hold an authorization under the Environmental Protection Act 1990 to operate a 'Part B' process for vehicle refinishing, the authorization according to records has been fully complied with and the paint shop run to a high standard. Source, Lett
lambeth-contaminated-land:290	Rush Common Mews, Cotherstone Road, Brixton Hill.	Previous ownership was a ramshackle set of buildings to the rear of the existing Pinewood Garage
lambeth-contaminated-land:291	Rush Common Mews, Cotherstone Road, Brixton Hill.	Prior to the removal of the existing buildings soil reports established that contamination was present on site, and a report was conducted to accommodate/contain the contamination, the buildings were then demolished in accordance with these recommendation
lambeth-contaminated-land:292	Gateway service station:  A.2 Balham Hill, London,	Active 24hr petrol filling station
lambeth-contaminated-land:293	89-95 Crescent lane, Clapham, London	Due to the usage of the site, it is probable that contaminates of hydrocarbons are present. Areas of slight to moderate contamination have been identified around the site. The surrounding area has been predominately residential, with a little industrial a
lambeth-contaminated-land:294	89-95 Crescent lane, Clapham, London	There is low environmental risk with respect to groundwater as site is located on a Non-Aquifer, with low leaching potential, and a low environmental risk with respect to surface water vulnerability. Also there are no surface watercourses within a 1km rad
lambeth-contaminated-land:295	89-95 Crescent lane, Clapham, London	Levels of cadmium, chromium, selenium, copper,nickel, TEM, mineral oils, TPH, phenols and cyanide were found to be below the Remediation Target Values for a domestic garden end use.  Source Laing Technology Group Ltd, October 2001
lambeth-contaminated-land:296	89-95 Crescent lane, Clapham, London	Elevated levels of arsenic, lead, mercury, the phytotoxic metals boron and zinc, and PAH when compared to the TTC values for domestic gardens and allotments, however were below the TTC for parks and playing fields. Source Laing Technology Group Ltd, Octob
lambeth-contaminated-land:297	168- 172 Stockwell Road, Stockwell	Site cleared for development. high lead concentrations discovered. Ammonia also present may have been indicative of effluent or industrial contamination, or sewage spillage. Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December
lambeth-contaminated-land:298	168- 172 Stockwell Road, Stockwell	Site developed since before 1877. No specific information is available. Fill material contains significant metals, sulphide and complex hydrocarbon contamination. Lead, Zinc and PAHs have been recorded at the site.  Source Contamination Assessment Report,
lambeth-contaminated-land:299	168- 172 Stockwell Road, Stockwell	The lead and PAH contamination has been identified within the made ground soils that are typical of those across the site.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:300	168- 172 Stockwell Road, Stockwell	At the time of investigation, (2001) the site was derelict and partly overgrown. A part burnt building was situated in the eastern corner of the site. To the rear of this building a basement had been part in filled with building debris and rubbish. Source
lambeth-contaminated-land:301	168- 172 Stockwell Road, Stockwell	Lead levels were found to exceed the ICRCL threshold level for domestic gardens. Two samples in fact also exceeded the threshold level for non domestic end use. Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:302	168- 172 Stockwell Road, Stockwell	A single sample of made ground was found to slightly exceed the threshold level for domestic gardens for Mercury.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:303	168- 172 Stockwell Road, Stockwell	Zinc, a single sample of from the made ground recorded a concentration which exceeds the revised threshold level.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:304	168- 172 Stockwell Road, Stockwell	The site is residential property, only a brewery is marked some 100m to the north west of the site.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:305	168- 172 Stockwell Road, Stockwell	no significant changes.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:306	168- 172 Stockwell Road, Stockwell	the brewery and the tram depot are shown to have been replaced with Borough Council deports. No further development seems to have occurred.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:307	168- 172 Stockwell Road, Stockwell	In summary no significant industrial or commercial activities are shown to have occurred within or in the vicinity of the site.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:308	168- 172 Stockwell Road, Stockwell	No pollution incident records affecting controlled water are held by the Environment Agency within 1km of the site.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:309	168- 172 Stockwell Road, Stockwell	There are two waste treatment or disposal sites within 1km of the site located some 960m and 630m to the east and south east of the site respectively. Both of the sites relate to small scrap yards. Source, Ashdown Site Investigation, Contamination Assessm
lambeth-contaminated-land:310	168- 172 Stockwell Road, Stockwell	Two registered waste transfer stations are located within 1km of the site.The closest related to a transfer site for asbestos waste held by the London Borough of Lambeth some 629m to the east. This site was classified as very small, and the license appear
lambeth-contaminated-land:311	Right of Paulet Road,  opposite Penford Street and Templar Street	Bird Food Factory, and above Bottling Depot
lambeth-contaminated-land:312	168- 172 Stockwell Road, Stockwell	There are no industries registered under the former Integrated Pollution Control Regulations within 1km of the site.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:313	168- 172 Stockwell Road, Stockwell	In close proximity, 355m to the north east of the site is a Tesco Filling Station on Brixton Road.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:314	168- 172 Stockwell Road, Stockwell	In close proximity there is the redevelopment of the Petrol Station on Brixton Road, approved in 1996.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:315	Site of The South London Hospital for Women, Clapham Common, London	Development for Tescos stores Ltd. Land use surrounding predominately residential, few signs of industrial activity. Potential contamination hazards, electrical sub station, incinerator ash, historical fuel storage. Investigation revealed only slightly el
lambeth-contaminated-land:316	168- 172 Stockwell Road, Stockwell	A total of 104 locations have been determined as undertaking potentially contaminative activities relating to a variety of typical activities that can be expected in an urban environment. These include, vehicle servicing and repair,and petrol filling stat
lambeth-contaminated-land:317	168- 172 Stockwell Road, Stockwell	Four fuel stations are located within 1km of the site, the closest being the Tesco Petrol Station, as mentioned above.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:318	168- 172 Stockwell Road, Stockwell	A potential source of contamination to be identified at the site may be the cover of made ground, which is associated with its development.  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:319	168- 172 Stockwell Road, Stockwell	Backfill material can also include a variety of contaminants associated with demolition debris, including asbestos, metals  potential to generate hazardous gas  Source Contamination Assessment Report, Ashdown Site Investigation Ltd, December 2002
lambeth-contaminated-land:320	167 Clapham Road, London	Used by the Ministry of Works during WW2 for the manufacture of dials for spitfires, including painting with luminous radium. Superficial clean up operation commenced after the war.Imperial War museum expressed chance of the material  being underneath the
lambeth-contaminated-land:321	2-4 Hermitage Green	Soil contamination, however not considered remarkable considering its past use as a vehicle dismantlers. Oil contamination is present, however not in such quantities to create risk to human health. Higher concern is the lead levels found on the middle and
lambeth-contaminated-land:322		Nearby works off of Bishops Park Road.  Report of an Investigation  by Springfield Site Investigation Ltd 1998. Source: Report of an investigation for Cox Drew Neale Partnership by Springfiled Site Investigation Ltd.
lambeth-contaminated-land:323	Effra Site, Vauxhall, London	planning permission was being sought of the site at Vauxhall, for the construction of commercial and residential/ leisure units, access roads and car parking. Site is a former gasworks, wharves and railway sidings, together with a now infilled dock,  Sou
lambeth-contaminated-land:324	10-14 Craster Road	the site was once a small vehicle depot, from research in 1998 for the potential construction of two to three storey houses on the site, there were unusually high pH levels recorded from the site. In 1998, the site contained a single storey warehouse. Sou
lambeth-contaminated-land:325	145-147 Coldharbour Lane, Camberwell, London	Adjacent to the existing underground fuel tanks/workshops and fuel pumps, the site was found to be contaminated with hydrocarbons resultant from diesel spillage's, with potential contribution from one or more leaking underground fuel tanks. Source, Harris
lambeth-contaminated-land:326	145-147 Coldharbour Lane, Camberwell, London	site and surrounding primarily residential. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002. Also Harrison & Company Ground Investigation Report December 2001
lambeth-contaminated-land:327	145-147 Coldharbour Lane, Camberwell, London	No significant changes. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002.
lambeth-contaminated-land:328	145-147 Coldharbour Lane, Camberwell, London	Extensive residential development has occurred, alongside the development of Kings College Hospital. A tramway exists to the west, North West, = printing works. North= Timber yard, North East = hospital and laundry. Source, Harrison & Company, Method Sta
lambeth-contaminated-land:329	145-147 Coldharbour Lane, Camberwell, London	A workshop or similar has developed at the junction of Coldharbour lane and Vaughan Road. Fronting onto Coldharbour Lane individual units and workshops have developed. The above printing and timber works have been replaced by 'manufacturing chemists'. So
lambeth-contaminated-land:330	145-147 Coldharbour Lane, Camberwell, London	1977: One of the 'Manufacturing chemists' mentioned above has been replaced by a laundry. The majority of the individual workshops have also been removed. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002.
lambeth-contaminated-land:331	145-147 Coldharbour Lane, Camberwell, London	1992: No major changes to the site, however the Coldharbour Industrial estate has replaced the laundry mentioned above and is located 100m to the north of the site. The industrial estate generally hosts companies that deal with distribution and removals.
lambeth-contaminated-land:332	145-147 Coldharbour Lane, Camberwell, London	There are indication of another 18 current industrial land uses within 250m of the site, either factory and premises workshop and premises with one waste recovery and treatment plant associated with Kings Hospital.There is one petrol and fuel site located
lambeth-contaminated-land:333	145-147 Coldharbour Lane, Camberwell, London	13 historical land uses can be identified within 250m of the site and 33 within 500m. 250m include general works, print works, laundry/dry cleaning electricity generation, sub station, power station, tweed factory and glass works. Source, Harrison & Compa
lambeth-contaminated-land:334	145-147 Coldharbour Lane, Camberwell, London	Two waste  treatment sites were located within 500m of the site, operated by Kings hospital and London Borough of Lambeth. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002. No.MS/NG/C5058/001
lambeth-contaminated-land:335	145-147 Coldharbour Lane, Camberwell, London	Two pollution incidents were noted within 1000m of the site, both were recorded as being category 4 - Unsubstantial Incidents. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002. No.MS/NG/C5058/001
lambeth-contaminated-land:336	145-147 Coldharbour Lane, Camberwell, London	There were some elevated levels of lead, but this is not really remarkable, given the history of the site. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002. No.MS/NG/C5058/001
lambeth-contaminated-land:337	145-147 Coldharbour Lane, Camberwell, London	The report also found that there was some evidence of underground gas generation in the form of methane and carbon dioxide. The made up ground being the most likely source. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement,
lambeth-contaminated-land:338	145-147 Coldharbour Lane, Camberwell, London	There appeared to be no discernible pattern to the contamination, however it was thought that the elevated hydrocarbons were present in the soils due to minor localized spillage's rather than from major leaks from the diesel tanks. Source, Harrison & Comp
lambeth-contaminated-land:339	145-147 Coldharbour Lane, Camberwell, London	The majority of contaminants tested were below the ICRCL domestic gardens threshold trigger values, with the exception of arsenic, lead, total sulphate and PAH.  Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002.No.MS/
lambeth-contaminated-land:340	145-147 Coldharbour Lane, Camberwell, London	Mineral oil/paraffin was present in three soil samples and diesel range hydrocarbons in five samples tested were present at concentrations above the Dutch optimum value. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 200
lambeth-contaminated-land:341	145-147 Coldharbour Lane, Camberwell, London	The groundwater was typically found to contain nitrate, soluble sulphate, PAH, diesel range hydrocarbons and mineral oil above the adopted criteria which was taken as the drinking water standards and therefore failed Tier 1 analysis. Source, Harrison & Co
lambeth-contaminated-land:342	145-147 Coldharbour Lane, Camberwell, London	The levels for contamination for both nitrate and soluble sulphate were only slightly elevated and the risk posed by these contaminants is very low and no remedial action would be required. The level of PAH recorded in the groundwater only slightly exceed
lambeth-contaminated-land:343	145-147 Coldharbour Lane, Camberwell, London	Elevated hydrocarbons were also recorded across the site which have the potential to penetrate certain plastic pipes, potentially threatening the fresh water supply. Source, Harrison & Company, soils and foundation engineers ltd, Method Statement, 2002.
lambeth-contaminated-land:344	115 Clapham Road, Stockwell, London	Previously  a two storey concrete building used as a 'social rehabilitation center' Proposed development is residential housing with gardens and car parking- Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:345	115 Clapham Road, Stockwell, London	North-east 200m from the site  = stone yard- Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:346	115 Clapham Road, Stockwell, London	Little change, a nursery and a marble laundry is shown 300m to the south. -Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:347	115 Clapham Road, Stockwell, London	Printing works established 150m to the South West and a tobacco factory, a cardboard works and an engineering works have been established 350m to the north-east of the site. -Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Envir
lambeth-contaminated-land:348	115 Clapham Road, Stockwell, London	The tramway, printworks, tobacco factory, cardboard works and engineering works have disappeared. - -Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:349	115 Clapham Road, Stockwell, London	A large warehouse has established 200m south-west of the site. Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:350	115 Clapham Road, Stockwell, London	a garage/filling station has been established 120m north- east of the site and two factories established 250-350m north-east of the site. Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:351	115 Clapham Road, Stockwell, London	Up until this date, no significant changes, apart from general residential growth, in 1995 the site can be seen as present. Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:352	115 Clapham Road, Stockwell, London	The site pre 1871 to 1963 was residential development. Around 1894 the site was a Blacksmiths, and 1976 to the present day it has been a social rehab center and day center. Thus with the exception of the petrol station 120m to the north-east the surrounds
lambeth-contaminated-land:353	115 Clapham Road, Stockwell, London	Concentrations of arsenic did exceed the lower ICRCL TTC for domestic gardens and allotments.According to Kelly's tables, the measured values are typical for uncontaminated soils.
lambeth-contaminated-land:354	115 Clapham Road, Stockwell, London	PAH's and hydrocarbons were in excess of the ICRCL TTC, but below the ATC for domestic gardens. Source: Laing Technology Group Ltd, Report prepared by LTG Geotechnical & Environmental, 1999
lambeth-contaminated-land:355	Lonesome Depot, Grove Road, Streatham Vale, London	In one of the boreholes from the investigation in 1992, there was a strong odor of petrol, and other less obvious contamination may have also been present, primarily from the fill material. Source Harrison and Company October 1992, Report number c2048.
lambeth-contaminated-land:356	Lonesome Depot, Grove Road, Streatham Vale, London	The site was once a breakers yard, with adjoining waste land. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:357	Lonesome Depot, Grove Road, Streatham Vale, London	The initial investigation showed the site to be contaminated with coal tars and mineral oils, among other substances. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:358	Lonesome Depot, Grove Road, Streatham Vale, London	Evidence was also found for seepage of contaminants at the base of the embankment forming the southern boundary of the breaker's yard. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:359	Lonesome Depot, Grove Road, Streatham Vale, London	In addition, the site has also been used as a mobile home/caravan park. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:360	Lonesome Depot, Grove Road, Streatham Vale, London	The investigation on the breakers yard and waste land identified extensive contamination with organic chemicals, and elevated lead and particularly, cadmium concentrations. Source Harrison and Company October 1992, Report number c2048. Also CBHR report nu
lambeth-contaminated-land:361	Lonesome Depot, Grove Road, Streatham Vale, London	The investigation did not look at the surface layers in the breakers yard, however these would be expected to be extremely rich in oily materials and have high concentrations of lead. Source Harrison and Company October 1992, Report number c2048. Also CBH
lambeth-contaminated-land:362	Lonesome Depot, Grove Road, Streatham Vale, London	Similar conditions it is thought also exist beneath the caravan park. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:363	Lonesome Depot, Grove Road, Streatham Vale, London	Arsenic levels were in excess of the guidance value in ICRCL for domestic gardens, but below that for open spaces. However the levels found from the 'Bank' testing ground were in excess of the latter threshold. Source Harrison and Company October 1992, Re
lambeth-contaminated-land:364	Lonesome Depot, Grove Road, Streatham Vale, London	Lead levels were above those recommended for domestic use, but below that for open spaces. Cadmium in particular had elevated concentrations. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:365	Lonesome Depot, Grove Road, Streatham Vale, London	The PAH level in the water collected is above the Dutch 'C' value at which 'clean up' is indicated. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:366	Lonesome Depot, Grove Road, Streatham Vale, London	There was evidence found for seepage of contaminants along the base of the steep slope that forms the southern boundary of the breakers yard. Source Harrison and Company October 1992, Report number c2048. Also CBHR report numbers LC716(a), 7C716B
lambeth-contaminated-land:367	328 Brixton Road	Proposed  3 storey residential development. The site was vacant with derelict buildings. Source Letter from Mr Colin Stanbury Environmental Health Officer to Bullen Consultants, 6 August 1997. Also SAS Ltd Report on a ground investigation November 2002.
lambeth-contaminated-land:368	328 Brixton Road	To the south lies an Esso Filling station and Tesco Express food outlet, East and West bounded by light industrial units along Overton Road.
lambeth-contaminated-land:369	124-128 Brixton Hill	Brixton Service Station
lambeth-contaminated-land:370	330 Brixton Road	Tesco Garage
lambeth-contaminated-land:1	Polygon Garage, Clapham	Replacement of existing storage tanks with 2 4,000 gallon petrol storage tanks. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:2	Polygon Garage, Clapham	No significant changes. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:3	Polygon Garage, Clapham	Site labeled garage. North East 80m = Printing Works, North West 60m = garage. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:4	Polygon Garage, Clapham	Change of use to a tyre center and general workshop. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:5	Polygon Garage, Clapham	Site used for sale of motor vehicles and workshop. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:6	Polygon Garage, Clapham	No significant changes. Source Laing Homes Ltd, Geo-Environmental Site Assessment Report, June 2001.
lambeth-contaminated-land:7	109 Tulse Hill, London	Tesco/Esso, vapor balancing installation was satisfactory
lambeth-contaminated-land:8	260 Knights Hill, London	Jet petrol station. The vapor balancing installation was found to be satisfactory.
lambeth-contaminated-land:9	401 Streatham High Road, London	BP petrol garage, the vapor balancing installation was found to be unsatisfactory, a further installation may be carried out.
lambeth-contaminated-land:10	128 Herne Hill, London	BP garage, the vapor balancing installation was found to be unsatisfactory, further paperwork required to be completed ASAP.
lambeth-contaminated-land:11	12 Kings Avenue, London	Esso service station, the vapor balancing installation was found to be unsatisfactory, further paperwork required to be carried out ASAP and another inspection may be carried out.
lambeth-contaminated-land:12	401 Streatham High Road	Norbury filling station, BP. The vapor balancing installation was found to be satisfactory.
lambeth-contaminated-land:13	63 Sternhold Avenue London	Murco Filling station. The vapor balancing installation was found to be satisfactory.
lambeth-contaminated-land:14	238 Kennington Lane, London	BP, The vapor balancing installation was found to be satisfactory.
lambeth-contaminated-land:15	212-214 Kennington Road, London	Texaco. The vapor balancing installation was found to be satisfactory
lambeth-contaminated-land:16	38-46 Albert Embankment London	Texaco, the vapor balancing installation was found to be unsatisfactory, further work to be completed by 13.04.03
lambeth-contaminated-land:17	330 Brixton Road, London	Tesco garage.  The vapor balancing installation was found to be unsatisfactory. There was no evidence available  on the site of annual inspection or maintenance of vapor recovery system. further work is to be completed by 13.03.03
lambeth-contaminated-land:18	2-22 Streatham Place London	Jet filling station. The vapor balancing installation was found to be unsatisfactory. A copy of the stage 1B vapor recovery/authorization was not available on site. Further work should be completed by 10.03.03
lambeth-contaminated-land:19	36-46 Albert Embankment	Texaco filling station.The inspection of the vapor balancing installation was held to be unsatisfactory because authorization was  not available and the record of annual inspection was also not available.
lambeth-contaminated-land:20	2-22 Streatham Place London	Streatham Place Filling Station  Authorized for the unloading of petrol into stationary storage tanks at a service station, the usage covers 6 tanks.
lambeth-contaminated-land:21	123-133 Larkhall Lane London	Vapor balancing installation inspection completed
lambeth-contaminated-land:22	47/51 Acre Lane London	Vapor balancing installation inspection completed.
lambeth-contaminated-land:23	260 Knights Hill West Norwood	Knights Hill Filling Station. Authorized for the unloading of petrol into tanks the authorization covers the use of 4 spirit tanks.
lambeth-contaminated-land:24	42-52 Hinton Road, London	EPA Solvent Recovery at Service Stations- Save Retail Limited.
lambeth-contaminated-land:25	Ireton House, Angell Town	chemical test of 2002 said Arsenic was above the 10mg/KG ICRCL trigger level for domestic gardens.  Area of development whole of Angell Town built on what was decaying housing. Nothing in terms of processes/factories.
lambeth-contaminated-land:26	site bounded by Bridge foot, the River Thames Nine Elms lane and Wandsworth Road	Contamination report conducted, no adverse results.
lambeth-contaminated-land:27	47-9 Acre Lane	Acre Lane Mouldings Limited, Timber process. There are no adverse reports against this operator and no indication of any past pollution incidents.
lambeth-contaminated-land:28	51 Acre Lane	BP petrol filling station. There are no adverse reports against this operator and no records of any pollution incidents.
lambeth-contaminated-land:29	86-88 Acre Lane	During 1986-8 a small plating works was run on this site. Redeveloped for housing during the 1990's. 1999 test revealed no significant pollution.
lambeth-contaminated-land:30	Sternhold Avenue	Murco Service station
lambeth-contaminated-land:31	Knights Hill	Conoco  Service station
lambeth-contaminated-land:32	124/128 Brixton Road	Elf service station
lambeth-contaminated-land:33	47/51 Acre Lane	Service Station
lambeth-contaminated-land:34	123-133 Larkhall Lane	Service Station
