OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Source,Status,Ward
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/01597/14,,"""Eastwood, 41 The Bishops Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.167935,51.58121,527008.00,188525.00,0.27,not owned by a public authority,Yes,permissioned,full planning permission,2014-06-26,,,1,"Demolition of existing house and erection of a new part two-storey, part three-storey dwelling house with basement level. Associated parking and landscaping.",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/01319/12,,"""Chandos Lawn Tennis Club, Chandos Way, Wellgarth Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.189689,51.57257,525573.00,187509.00,0.90,not owned by a public authority,Yes,permissioned,full planning permission,2014-09-22,,,45,"Erection of 45 self-contained units with associated car parking, cycle storage, amenity space, landscaping, refuse/recycling access, following demolition of existing building and structures.",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/05720/14,,"""Dryades, The Bishops Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.170212,51.579102,526881.00,188282.00,0.49,not owned by a public authority,Yes,permissioned,full planning permission,2015-06-29,,,9,Demolition of existing dwelling and erection of two storey building comprising of basement level and rooms in roof space to form 9 self-contained  flats.,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/04857/14,,"""The Towers, The Bishops Avenue And 1-5 Arden Court Gardens, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.170329,51.577111,526887.00,188079.00,1.67,not owned by a public authority,Yes,permissioned,full planning permission,2015-08-03,,,44,"Demolition of six existing dwelling houses and erection of two three-storey blocks and one four-storey block to provide 44 residential units (3 x 1-bed, 27 x 2-bed and 14 x 3-bed units) with servicing, refuse/recycling facilities, tennis court, car parki",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/0852/FUL,,"""Hammerson House, 50A The Bishops Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.172041,51.577683,526763.00,188120.00,1.02,not owned by a public authority,Yes,permissioned,full planning permission,2016-11-30,,,116,Demolition and rebuild of existing to provide 3 storey Care home with pitched roof (C2 use) providing 116 no. care units with associated amenity space and landscaping,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Garden Suburb
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,C/17559/08,,"""Brent Cross Cricklewood Regeneration Area North West London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.218947,51.570056,523399.00,187516.00,188.89,not owned by a public authority,Yes,permissioned,outline planning permission,2010-10-28,,,7550,"Redevelopment of the Brent Cross Cricklewood regeneration area comprising residential (Use Class C2, C3 and student / special needs / sheltered housing), town centre uses including Use Classes A1-A5, offices, industrial and other business uses (B1-B8), l",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/01932/11,,"""Former Parcel Force Depot, Geron Way, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.223513,51.565073,523231.00,186615.00,1.70,not owned by a public authority,Yes,permissioned,full planning permission,2013-04-30,,,230,"Redevelopment of site to provide for 230 residential units (use class C3) and 888 square metres of commercial accommodation (use classes B1, D1 and D2) in buildings up to seven storeys in height, along with associated car parking, amenity space and new v",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/00720/RMA,,"""Land Off Brent Terrace, London, (The Brent Terrace Triangles)""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.221277,51.567762,523450.00,186817.00,0.86,not owned by a public authority,Yes,permissioned,reserved matters approval,2015-06-09,,,47,"Reserved Matters application within Phase 1a (North) of the Brent Cross Cricklewood Regeneration Scheme relating to Layout, Scale, Appearance, Access and Landscaping, for the residential development of Plots 53 and 54 comprising 47 Residential Units. Sub",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/07820/FUL,,"""Melvin Hall, Golders Green Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.208321,51.579351,524246.00,188243.00,0.31,mixed owner,Yes,permissioned,full planning permission,2016-03-24,,,1,Roof extension to accommodate 1 self-contained flat with external balcony. Parking area to the northwest side.,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3806/FUL,,"""290-294 Golders Green Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.209174,51.58022,524177.00,188326.00,0.42,not owned by a public authority,Yes,permissioned,full planning permission,2016-09-05,,,60,"Erection of a part two, part four, part five, part six storey building with lower ground floor and basements providing 60 residential flats with ancillary spa facility; associated car and cycle parking, landscaping and associated other works with access",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Golders Green
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/06101/13,,"""The Barn, Nan Clarks Lane, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.244951,51.628941,521614.00,193692.00,2.18,not owned by a public authority,Yes,permissioned,full planning permission,2014-02-17,,,1,Demolition of the existing dwelling house and erection of a new dwelling house with basement accommodation and a ramped access together with associated landscaping.,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Hale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03138/FUL,,"""Land Adjacent Northway And Fairway Primary School, The Fairway, Mill Hill, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.259067,51.627299,520783.00,193503.00,1.89,owned by a public authority,Yes,permissioned,full planning permission,2016-04-08,,,120,"Development of site to the west of Northway and Fairway Primary School to provide 120 residential units (Use Class C3) comprising 45 houses (2-3 storeys) and two apartment blocks (3-4 storeys) containing a total of 75 flats. Replacement playground, new v",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Hale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/7594/FUL,,"""The Vicarage, Deans Lane, Edgware""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.261319,51.614808,520481.00,192102.00,0.29,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-12,,,9,"Demolition of existing vicarage and garage buildings and redevelopment to provide a replacement vicarage plus 8no. additional two storey dwellinghouses  with associated access, amenity space, hard and soft landscaping, refuse stores and cycle storage.  P",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Hale
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/02551/14,,"""71-73 Church Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.223043,51.589758,523194.00,189375.00,0.03,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2014-06-17,,,7,"Change of use from Class B1(office), to Class C3 (residential) (7 units).",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03198/FUL,,"""Spectrum House, Hillview Gardens, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.213549,51.587708,523869.00,189167.00,0.21,not owned by a public authority,Yes,permissioned,full planning permission,2016-03-01,,,27,Demolition of existing buildings and redevelopment of the site to provide a new three storey residential building with basement parking area to provide 27 flats and associated private amenity space,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/04738/FUL,,"""Ella And Ridley Jacob House And Sam Beckman Centre, 19 - 25, Church Road And 29 Babington Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.225234,51.589586,523032.00,189358.00,0.22,mixed owner,Yes,permissioned,full planning permission,2016-04-13,,,32,"Demolition of existing buildings (Ella & Ridley Jacobs House and Sam Beckman Centre) and the construction of two new buildings, one up to five storeys in height (plus basement) and one two storey building, and associated works, including alterations to a",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2709/FUL,,"""Craymere Cottage And Fordfield Cottage, 9-11 Parson Street, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.221827,51.590612,523282.00,189469.00,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2017-06-21,,,6,"Conversion of 2 single family dwellings into 5 self contained flats following demolition of existing two storey extension and erection of a part single part two storey rear extension, including partial excavation. Extension to roof including raising of r",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Hendon
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/05631/14,,"""Arkley Reservoir, Rowley Green Road, Barnet, Herts""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.238499,51.646155,521981.00,195640.00,2.08,not owned by a public authority,Yes,permissioned,full planning permission,2014-12-08,,,3,Erection of 3no. two storey plus rooms in roof space detached dwellinghouses with associated hard and soft landscaping and amenity space.,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/01703/FUL,,"""Dolphin Manor, 105 Camlet Way, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.185996,51.664826,525559.00,197767.00,0.87,not owned by a public authority,Yes,permissioned,full planning permission,2015-05-22,,,2,Demolition of the existing house and construction of two self-contained two-storey detached dwellings (Lower ground and ground floor levels). Landscaping and associated works,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03343/FUL,,"""Elmbank, Barnet Road, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.219241,51.651469,523310.00,196251.00,1.29,owned by a public authority,Yes,permissioned,full planning permission,2016-05-25,,,114,"Demolition of existing buildings and erection of 114 residential dwellings (93 flats and 21 houses), car parking, landscaping and associated works.",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/07170/FUL,,"""Rowley Lane Sports Ground, Rowley Lane, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.247028,51.652408,521361.00,196301.00,0.33,not owned by a public authority,Yes,permissioned,full planning permission,2016-10-28,,,1,"Construction of a two storey Clubhouse providing various essential facilities for the Sports Association including changing rooms, spectator areas and a caretakers flat",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/2466/FUL,,"""Brake Shear House, 164 High Street, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.200835,51.655767,524550.00,196758.00,0.48,mixed owner,Yes,permissioned,full planning permission,2017-02-02,,,40,"Demolition of existing buildings (Use Class B1(c), Sui Generis, A3 and C3). Erection of new three storey building to provide flexible Use Class B floorspace. Erection of new four storey residential apartment building providing 32 self-contained units and",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2058/FUL,,"""Site Of Former 7, Alston Road, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.208129,51.656233,524053.00,196790.00,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-26,,,5,Demolition of existing building (Class D1) and erection of two-storey building with rooms in roof space to create 5 new self-contained C3 residential units. Associated parking and refuse (alteration to scheme that is under construction that was approved,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,High Barnet
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/04017/09,,"""Inglis Barracks, Mill Hill, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.20955,51.6119,523847.00,191996.00,30.96,not owned by a public authority,Yes,permissioned,outline planning permission,2011-09-22,,,2174,"Outline application for the comprehensive redevelopment of the site for residential led mixed use development involving the demolition of all existing buildings (excluding the former officers mess) and ground re-profiling works, to provide 2,174 dwelling",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/01546/RMA,,"""Phase 4A, Milbrook Park (Former Inglis Barracks), Mill Hill East, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.208849,51.613619,524120.00,191882.00,6.62,not owned by a public authority,Yes,permissioned,reserved matters approval,2015-07-01,,,114,"Reserved matters application seeking approval of appearance, landscaping, layout and scale for Phase 4a of the Mill Hill East development pursuant to Outline planning permission reference H/04017/09 dated: 22/9/2011, involving the erection of 114 units 6",,,,,,,Part of H/04017/09 outline planning application,2017-12-19,2017-12-19,LDD,STARTED,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/06417/OUT,,"""Milbrook Park, Mill Hill, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.210147,51.611581,523847.00,191997.00,2.96,not owned by a public authority,Yes,permissioned,outline planning permission,2016-05-13,,,66,"Outline planning application for up to 66 residential units, 700 sqm of B1 floorspace, 630 sqm energy centre (CHP) and associated car parking and landscaping.",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,H/01721/11,,"""551 Watford Way, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.241663,51.609729,521855.00,191561.00,0.27,not owned by a public authority,Yes,permissioned,full planning permission,2011-06-30,,,9,Construction of a 3 storey building including rooms in the roofspace to provide 5 self-contained flats and construction of 3 x two storey plus rooms in the roofspace and 1 x two storey detached dwellinghouses. Associated landscaping and parking spaces.,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/00568/FUL,,"""Land At Moreton Close, Mill Hill, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.223278,51.609307,523119.00,191554.00,0.43,owned by a public authority,Yes,permissioned,full planning permission,2015-05-18,,,53,"Demolition of existing buildings and for the construction of a three storey building with rooms in roofspace to provide extra care residential development (Use Class C2) to provide 51 no. 1 and 2 bedroom flats, served by a new vehicular access off Milesp",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/8115/FUL,,"""St Vincents Farm Cottage, The Ridgeway, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.222695,51.619182,523156.00,192685.00,0.40,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-17,,,7,"Demolition of existing 8no. dwellings and ancillary buildings and erection of a part single storey, part two storey building to provide 7no dwellings. Associated cycle parking, storage, parking and amenity space. Alterations to hard and soft landscaping",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Mill Hill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/03068/11,,"""Land Off High Road/Chandos Avenue, London And Bretheren Meeting Hall & Well Grove School, Well Grove, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.173984,51.635088,526415.00,194505.00,2.26,mixed owner,Yes,permissioned,outline planning permission,2012-03-29,,,70,"Demolition of existing buildings and redevelopment comprising of 70 dwellings (62 houses and 8 flats). Erection of 512sqm building for use class D1 purposes (Non-Residential Institution). Provision of associated car parking, landscaping and open space. U",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Oakleigh
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/01990/11,,"""Groupama House, 17 Station Road, Barnet, Herts""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.175923,51.649367,526295.00,196080.00,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2012-08-21,,,34,"Conversion of existing office building to 34 residential units, with 323m2 of B1 (Office Space) at first floor level. Associated alterations and extensions including extensions at rear and roof level. Provision of 34 car parking spaces.",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Oakleigh
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/03816/13,,"""Castle House, 21-23 Station Road, Barnet, Herts""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.176579,51.649139,526248.00,196066.00,0.21,not owned by a public authority,Yes,permissioned,full planning permission,2013-12-10,,,8,Erection of a two-storey roof addition to provide 8 apartments including works comprising of new fire escape stairs at the rear; re-modelling of the front elevation to incorporate new entrance; re-modelling and landscaping of the site including the front,,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Oakleigh
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/06116/13,,"""1060A-1072 High Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.175276,51.624677,526430.00,193338.00,0.62,not owned by a public authority,Yes,permissioned,full planning permission,2015-11-12,,,56,"Demolition of the existing buildings and redevelopment of the site to provide 46 no. self-contained residential flats (Use Class C3), 10 no. self contained houses (Use Class C3) and 483 square metres of office (Use Class B1a) floorspace, in buildings ran",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Oakleigh
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/05318/14,,"""Reculver, 63 Totteridge Village, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.206878,51.633507,524194.00,194273.00,1.27,not owned by a public authority,Yes,permissioned,full planning permission,2015-01-30,,,1,Demolition of existing dwelling and erection of new single storey house including lower ground floor and basement level.,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/04309/14,,"""Land Between Sweets Way And Oakleigh Road North, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.171781,51.628516,526549.00,193822.00,6.21,unknown owner,Yes,permissioned,outline planning permission,2015-07-24,,,288,"Demolition of all existing buildings and outline planning permission (with all matters other than access and layout reserved) for new residential dwellings (Use Class C3), comprising up to 201 houses and up to 87 flats (up to 288 new dwellings in total),",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,14/07670/FUL,,"""1201 High Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.175244,51.62832,526398.00,193746.00,1.05,not owned by a public authority,Yes,permissioned,full planning permission,2015-12-03,,,124,"Construction of a new building up to 5-storeys high comprising of 43 self-contained flats (Class C3) and 437sqm of (Class A1) retail space at ground floor level with basement parking. Associated landscaping, refuse stores, cycle stores and amenity space",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/07359/HSE,,"""Southern Lea, Wykeham Rise, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.204964,51.633807,524329.00,194306.00,0.30,not owned by a public authority,Yes,permissioned,full planning permission,2016-02-15,,,1,Demolition of existing dwelling and erection of new two-storey dwelling house at ground and lower ground level. Associated works,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,16/3828/FUL,,"""Copped Close, 15 Totteridge Village, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.199165,51.630098,524735.00,193899.00,0.34,not owned by a public authority,Yes,permissioned,full planning permission,2016-11-17,,,1,Erection of two storey dwelling with basement and rooms in roofspace including garage,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/1313/PNO,,"""Barnet House, 1255 High Road, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.175386,51.629469,526405.00,193867.00,0.71,owned by a public authority,Yes,permissioned,planning permission granted under an order,2017-05-11,,,254,Change of use Change of use from B1 (Office) to C3 (Residential) (254 Units over 11 Floors),,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/0824/FUL,,"""Copped Close, 15 Totteridge Village, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.198498,51.630491,524788.00,193953.00,0.27,not owned by a public authority,Yes,permissioned,full planning permission,2017-06-21,,,2,Demolition of the existing dwelling and buildings and erection of two detached dwellings and replacement double garage. Associated refuse and recycling area,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/3135/FUL,,"""Burnhams, 25 Totteridge Common, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.214823,51.632158,523626.00,194157.00,0.76,not owned by a public authority,Yes,permissioned,full planning permission,2017-07-13,,,1,Demolition of the existing house and the erection of a two storey detached dwelling with basement and rooms in roofspace and detached garage.  Alterations to hard and soft landscaping,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/2982/FUL,,"""Whitewalls, Totteridge Green, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.196548,51.6295,524941.00,193842.00,0.27,not owned by a public authority,Yes,permissioned,full planning permission,2017-07-28,,,2,"Demolition of single detached house and erection of 2no detached dwellings. Associated landscaping, hardstanding and refuse storage",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,17/3715/FUL,,"""Ridge Lodge, 30 Totteridge Common, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.218917,51.633109,523372.00,194167.00,0.42,not owned by a public authority,Yes,permissioned,full planning permission,2017-09-12,,,1,"Demolition of existing dwelling, garage and outbuildings and erection of a two storey dwelling and single storey garage. Associated landscaping and alterations to existing entrance gates",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Totteridge
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/00354/13,,"""Dollis Valley Estate, Including Former Barnet Hill School, Barnet South Community Association Hall And 131-135 Mays Lane, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.198637,51.645113,524622.00,195695.00,10.74,not owned by a public authority,Yes,permissioned,outline planning permission,2013-10-01,,,631,"Hybrid planning application for the redevelopment of Dollis Valley Estate to accommodate up to 631 residential units, replacement community space, new open space and infrastructure comprising: Outline permission for the demolition of existing buildings a",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,Underhill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,B/02349/14,,"""Phase 2, Dollis Valley Estate, Barnet, Herts""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.199042,51.645359,524936.00,195677.00,3.16,not owned by a public authority,Yes,permissioned,reserved matters approval,2014-08-13,,,163,"Reserved matters application seeking approval of landscaping, appearance, scale, access and layout for Phase 2 of the Dollis Valley Estate Redevelopment pursuant to Condition 7 of the Hybrid planning permission reference B/00354/13 dated 01/10/2013 invol",,,,,,,Part of B/00354/13 planning permission,2017-12-19,2017-12-19,LDD,STARTED,Underhill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,14/07124/FUL,,"""Vale Farm, Mays Lane, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.22202,51.640099,523119.00,194977.00,0.30,not owned by a public authority,Yes,permissioned,full planning permission,2015-06-05,,,1,"Conversion of existing barn into a single family dwellinghouse with external alterations including insertion of rooflights to facilitate a loft conversion, associated landscaping and off-street car parking following partial demolition of storage building",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Underhill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/03139/FUL,,"""Land Adjacent To Whitings Hill Primary School, Whitings Road, Barnet""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.219334,51.645941,523312.00,195621.00,2.99,owned by a public authority,Yes,permissioned,full planning permission,2016-04-08,,,33,"Development of site to north east of Whitings Hill Primary School to provide 33 residential units (Use Class C3) comprising 26 houses (2-3 storeys) and an apartment block containing 7 flats (3-4 storeys), accessed from existing vehicular access (serving",,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,Underhill
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,F/04976/13,,"""Berkeley Court, Vines Avenue, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.186992,51.601281,525655.00,190708.00,0.28,not owned by a public authority,Yes,permissioned,full planning permission,2014-03-06,,,4,"Extension to roof including dormer windows to all sides, rooflights to east and west elevations and recessed second floor balconies to inward facing elevations of Block 1 and Block 3 to facilitate the formation of four new self-contained residential unit",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,14/07706/PNO,,"""319 Ballards Lane, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.177611,51.613195,526277.00,192057.00,0.06,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2015-01-15,,,16,Change of use from Class B1(Office) to Class C3 (Residential)?,,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/02178/PNO,,"""354 Ballards Lane, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.17681,51.613261,526333.00,192065.00,0.03,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2015-05-19,,,8,Change of use from Offices (B1) to residential usage (C3),,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,15/02177/PNO,,"""Apex House, Grand Arcade, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.17626,51.613308,526376.00,192072.00,0.05,not owned by a public authority,Yes,permissioned,planning permission granted under an order,2015-05-19,,,8,Change of use from Offices (B1) to residential usage (C3),,,,,,,,2017-12-19,2017-12-19,LDD,SUBMITTED,West Finchley
http://opendatacommunities.org/id/london-borough-council/barnet,Barnet London Borough Council,W/13937/04,,"""West Hendon Estate, West Hendon, London""",https://maps.london.gov.uk/brownfield-site-register,OSGB36,-0.242025,51.577417,521857.00,188036.00,12.32,not owned by a public authority,Yes,permissioned,outline planning permission,2008-07-02,,,2171,"Redevelopment of site including the demolition of all existing buildings and construction of 2171 new residential units, approximately 10,000sqm of non-residential floorspace for retail (Class A1), office (Class A2), food and drink (Class A3), business (",,,,,,,,2017-12-19,2017-12-19,LDD,STARTED,West Hendon
