OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDeveloment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,13/12009/COFUL,17330112,"Elmfield Way / Harrow Road, London, W9 3TU",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=13/12009/COFUL,OSGB36,525208.4322,181969.5075,0.431446074,unknown ownership,,permissioned,full planning permission,02/04/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MX6PVBRP01R00,,91,"Redevelopment of the existing buildings at 291 Harrow Road and 1 and 2 Elmfield Way, and the adjoining vacant land and ball games areas to provide two new buildings ranging from part two to part seven storeys in height comprising of 64 affordable intermediate residential units (Class C3) and 27 supported housing units (Class C3 (b)); new basement; replacement ball games area, new public amenity and children's play area; new plant, car, motorcycle and cycle parking. (Council's Own Development)",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MX6PVBRP01R00,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/05254/FULL,17330171,206 - 216 Marylebone Road NW1 5LA,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/05254/FULL,OSGB36,527629.5643,181937.905,0.354388463,unknown ownership,,permissioned,full planning permission,28/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPTRSCRP01R00,,64,"Redevelopment of the site behind a part retained facade to provide an eight level (plus basement) mixed use development containing up to 64 residential units (Class C3), office floorspace (Class B1) and retail floorspace (Class A1), together with car and cycle parking, plant and other associated works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPTRSCRP01R00,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17/06049/COFUL,17330142,Parsons House 124 Hall Place W2 1NE,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17/06049/COFUL,OSGB36,526661.7414,182071.3205,0.635169177,unknown ownership,,pending decision,,,,,60,"Demolition and redevelopment to the podium/ car park structure and redevelopment of site in a building comprising ground and five upper floors to provide 60 residential units (Use Class C3), including terraces and balconies, a communal garden space and 54 car parking spaces with altered entrance from Hall Place. Provision of 101 sqm of retail space fronting onto Edgware Road (Use Class A1/A2/A3). Replacement boundary treatment works and planting on Edgware Road, including replacement of trees and works to the raised bund in front of Parsons House. Re-location of existing recycling centre.",,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330134,,HARROW ROAD part of E9 Proposal Site Westbourne Green,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330134,OSGB36,525501.4551,181859.1931,0.374439542,unknown ownership,,not permissioned,,,,,92,SHLAA site,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330224,,RANELAGH ROAD Housing Renewal Site,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330224,OSGB36,529268.9528,178147.6434,0.382084061,unknown ownership,,not permissioned,,,,,71,SHLAA site,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330239,,SENIOR STREET part of Westbourne Green Proposal Site,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330239,OSGB36,525706.6385,181830.4324,0.360816469,unknown ownership,,not permissioned,,,,,64,SHLAA site,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330327,,Church Street Site A,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330327,OSGB36,526959.0335,181922.0158,1.013391663,unknown ownership,,not permissioned,,,,,207,Draft Church Street Masterplan Sept 2017,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330248,,"Stalbridge Street Proposal site E5 Site bounded by Shroton Street, Cosway Street, Bell Street, and Stalbridge Street, NW1.",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330248,OSGB36,527286.1885,181947.4542,0.265581003,unknown ownership,,not permissioned,,,,,36,Draft Church Street Masterplan Sept 2019,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330308,,WARWICK ESTATE part of Westbourne Green Proposal Site,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330308,OSGB36,525874.1315,181741.7884,0.703518681,unknown ownership,,not permissioned,,,,,64,This site is part of the Westbourne Green Housing Renewal Site with the potential to supply more homes on the existing estate.,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330210,,PORTEUS ROAD,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330210,OSGB36,526440.969,181818.0551,1.805537786,unknown ownership,,not permissioned,,,,,9,Proposals site in Westminster’s City Plan,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17330226,,"Reed House, 82-84 Piccadilly",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17330226,OSGB36,528881.6219,180270.4926,0.462831711,unknown ownership,,not permissioned,,,,,47,SHLAA site,,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17/08619/FULL,17330195,"Proposal site E6 Site bounded by Luton Street, Bedlow Close, Capland Street and 60 Penfold Street, NW8 8RT",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17/08619/FULL,OSGB36,526957.2236,182176.2333,0.455375876,unknown ownership,,pending decision,,,,,154,"Demolition of buildings and redevelopment to provide two six storey buildings above lower ground and row of three storey townhouses comprising up to 168 residential units with ancillary facilities (Class C3) and a Sports Hall (Class D2), and associated car park, energy centre and all other works incidental to the proposed development.",,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/12289/FULL,17330182,North Westminster Community Sch. Phase 1 (West) North Wharf Road,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/12289/FULL,OSGB36,526670.6909,181623.7162,0.345810168,unknown ownership,,pending decision,,,,,335,"Variation of Condition 1 and removal of Condition 52 of planning permission dated 11 March 2015 (RN: 13/11045/FULL) for: Demolition of existing buildings to the centre and eastern end of the site and redevelopment comprising erection of buildings of between six and 20 storeys in height to provide 335 residential units (Class C3), a hotel and serviced apartments (Class C1), offices (Class B1), gym (Class D2), retail (Class A1/A3) and a primary school (Class D1) with associated landscaping and open space, highways works, off street ground floor service bay and two storey basement to provide car, cycle and motorcycle parking and ancillary servicing space. Namely, to provide a second servicing bay accessed from the approved vehicular entrance in North Wharf Road, alterations to the car and cycle parking layout, relocation of substation from basement to ground floor level, amendment to the layout and quantum of ground floor commercial spaces (Classes A1, A3, B1 and D2), raising of the height of the gym block to accommodate second floor, amendment of gym block west facade alignment and detailing, amendments to landscaping including a revision to the locations of trees and planters, amendment of residential layouts including alteration to the mix of the market residential flats, facade amendments including the insertion of additional windows, balcony detailing and introduction of window mullions,  introduction of balconies at Levels 18 and 19 to Block C to replace winter gardens and minor increases in the height of the buildings.",,,0,0,,,SHLAA,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07396/FULL,,"126 - 134 Baker Street, 
London, 
W1U 6SH
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07396/FULL,OSGB36,527955.6709,181928.0994,0.06176212,unknown ownership,yes,permissioned,full planning permission,10/11/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSZ22ZRPL4R00,,11,"Erection of three storey extension at the rear of the building at second, third and fourth floor level and use of enlarged second to fourth floors as 11 flats (Class C3). Installation of plant within existing roof top plant room and plant within existing stairwell at roof level. Installation of photovoltaic panels and living roof at roof level and new entrance doors at ground floor level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSZ22ZRPL4R00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/11376/FULL,,"Dev Site At 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street And 30
Gloucester Place
London

",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/11376/FULL,OSGB36,527993.9012,181463.232,0.278450012,unknown ownership,,pending decision,,,,,11,"Demolition of the existing buildings at 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street and redevelopment to create a mixed use scheme providing offices (Class B1), retail (Class A1 and flexible Class A1/A3 units) and up to 51 residential units (Class C3) within a new ground plus nine storey building (and an enclosed plant area) on Baker Street; a new stepped ground plus four to ground plus six storey building on George Street; refurbishment, extension and the change of use of the first floor from office to residential at 30 Gloucester Place; creation of a single storey basement level linking the Baker Street and George Street buildings to provide car and cycle parking, refuse and servicing; creation of a new central, publically accessible courtyard; removal of 5 trees and replacement trees across the site, a new publically accessible route at ground level connecting Baker Street and Gloucester Place; associated plant, landscaping, replacement pavements in part and other associated works.  (Linked application 16/11377/LBC) (Revised scheme i. Stepping back at level 8 and above to Baker Street building. ii. Details of buidling line of Baker Street building. iii. Details of servicing arrangements. iv. Details of distribution of Class A1 and A3 uses within the scheme)",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/11248/FULL,,"Development Site At Carrington Street Car Park, 51-53 Brick Street And 1-6
Yarmouth Place
London

",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/11248/FULL,OSGB36,528730.3179,180144.9954,0.050640025,unknown ownership,,pending decision,,,,,24,"Demolition of existing buildings on site and redevelopment to provide up to 30 residential units (Class C3), office floorspace (Class B1), gymnasium (Class D2), retail art gallery (Class A1), restaurant (Class A3) and retail (Class A1) floorspace; creation of a new pedestrian link through the site between Yarmouth Place and Carrington Street; erection of buildings either side of the new pedestrian link between 4 and 8 storeys in height; excavation to create additional basement accommodation; provision of on site car parking, cycle parking and delivery bay on Yarmouth Place; new landscaping including improvement works to Yarmouth Place; associated alterations.
",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/06446/FULL,,"100 Piccadilly
London
W1J 7NH
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/06446/FULL,OSGB36,528780.7698,180159.2591,0.147131375,unknown ownership,yes,permissioned,full planning permission,22/12/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRKQVKRP14X00,,25,"Excavation of sub-basement, redevelopment of Nos. 5-6 Yarmouth Place, alterations and extension to provide enlarged sixth and new seventh floor storeys and installation of plant at basement, ground and fourth floor levels. Use of extended and altered building as 36 x flats (Class C3) (an additional 28 above existing), car / cycle parking and a shop (Class A1) or financial and professional institution (Class A2) at part ground floor level. Internal alterations. (SITE COMPRISES 96-100 PICCADILLY AND 5-6 YARMOUTH PLACE).",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRKQVKRP14X00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07627/FULL,,"Nightingale House
, 65 Curzon Street, 
London, 
W1J 8PE
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07627/FULL,OSGB36,528858.5606,180408.6857,0.067773125,unknown ownership,yes,permissioned,full planning permission,26/01/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NT9KR3RPLIW00,,32,"Demolition of existing building and redevelopment, including excavation, to create up to three basement storeys, ground and eight storeys to be used for up to 32 residential flats, creation of a ground floor arcade link between Stratton Street and Curzon Street for use as retail and/or restaurant uses (Classes A1 and A3). provision of up to 21 car parking spaces over the basement level, basement and rooftop plant areas. Creation of terrace/balcony areas on both elevations",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NT9KR3RPLIW00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/07404/FULL,,22 Hanover Square London W1S 1JA,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/07404/FULL,OSGB36,528866.7563,181001.5734,0.05763575,unknown ownership,yes,permissioned,full planning permission,05/07/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBC871RPFMR00,,78,"Demolition and redevelopment to provide a new building on three basement levels, lower ground, ground and part first to ninth floor / part first to eleventh floor to provide a hotel with ancillary bars / restaurants / leisure facilities and private dining / meeting rooms (Class C1), up to 81 residential units (Class C3), flexible / alternative restaurant (Class A3) / hotel restaurant (Class C1) / retail (Class A1) use on part ground part lower ground floors, basement car and cycle parking, plant at basement and roof levels, alterations to existing access on Brook Street and associated works.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBC871RPFMR00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/01450/FULL,,"20-24 Broadwick Street, London, W1F 7DD",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/01450/FULL,OSGB36,529246.5598,181014.6762,0.005105625,unknown ownership,yes,permissioned,full planning permission,15/06/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00,,24,"Redevelopment of 20-24 Broadwick Street and 85 Berwick Street, including the creation of new facades and extensions at main roof level, installation of plant in the basement and at main roof level with associated screening and creation of Juliet balconies at first to sixth floor levels and terraces at sixth, seventh and eighth floor levels all in connection with the use of part basement and ground floor levels as retail accommodation (Class A1) and part basement and ground and the first to eighth floor levels as residential accommodation (Class C3) comprising 24 residential units with associated waste storage and cycle parking.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/03432/FULL,,"Fenton House
, 55-57 Great Marlborough Street
, London, 
W1F 7JX
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/03432/FULL,OSGB36,529329.8232,181152.3637,0.0590685,unknown ownership,yes,permissioned,full planning permission,08/03/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NN44LFRPFGG00,,27,"Demolition and redevelopment behind retained street facades at 54 and 55-57 Great Marlborough Street to provide a new building comprising basement, ground and first to seventh floor levels. Use of the part basement and ground floor levels as two retail units (Class A1) and one dual/alternative retail or restaurant (Class A1/A3) unit at part basement and ground floor levels. Use of part basement and ground and the entire first to seventh floor levels as residential accommodation comprising 27 units with associated terraces at rear first floor and balconies at fifth and sixth floor levels. Excavation at basement level, the provision of a green roof at main roof level and installation of plant in the basement and at seventh floor level. (Site includes 54 Great Marlborough Street)",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NN44LFRPFGG00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/00581/FULL,,"52-53 Poland Street, 
London
, W1F 7NB
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/00581/FULL,OSGB36,529371.0481,181114.0096,0.03631449,unknown ownership,yes,permissioned,full planning permission,06/10/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NINDTHRPJ7F00,,0,"Use of part ground floor and the upper floors of the building for up to 19 residential units (Class C3), alterations including forward projection of front facade on first to fifth floors, extension to seventh floor front terrace and eighth floor roof addition; infill extension to southern lightwell on third to eighth floors; creation of residential terraces on all levels; installation of new and relocated plant at ground, first and roof levels, with associated plant enclosures.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NINDTHRPJ7F00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/07438/FULL,,"40 - 42 Newman Street, 
London, 
W1T 1QZ
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/07438/FULL,OSGB36,529409.9983,181621.4863,0.031271625,unknown ownership,yes,permissioned,full planning permission,29/01/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSZMFTRPL6Z00,,12,Use of first to fifth floors as 12 x flats (Class C3) (including cycle / waste storage in basement) and alterations to front entrance (site includes 43-44 Newman Street).,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NSZMFTRPL6Z00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/02851/FULL,,"9-11 Richmond Buildings
, London, 
W1D 3HF
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/02851/FULL,OSGB36,529616.0229,181108.0638,0.02381375,unknown ownership,yes,permissioned,full planning permission,02/08/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NM33HERPMAT00,,14,"Demolition of the existing building and erection of a replacement building to provide sub-basements for use by a car stacker, and basement, lower ground, ground and first to fifth floor levels for use as residential accommodation comprising 13 residential units (Class C3). Creation of terraces at first to fifth floor levels and lightwells to the front and rear of the property. Installation of plant and PV cells at main roof level and condenser units within an enclosure at ground floor level within the undercroft.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NM33HERPMAT00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/09094/FULL,,"65-66 Frith Street
London
W1D 3JR",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/09094/FULL,OSGB36,529689.2006,181153.4466,0.033457135,unknown ownership,yes,permissioned,full planning permission,29/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBSQ8CRPL2M00,,11,"Erection of extensions at rear second and third floor levels and at main roof level to create a new sixth floor in connection with the use of part basement and ground and the first to new sixth floor levels as eleven residential units (Class C3). Use of part lower ground and ground floors as restaurant accommodation (Class A3) and installation of a full height extract duct. Creation of terraces and balconies at second, third, fourth, fifth and sixth floor levels. Installation of plant at rear third floor level with associated screening and at main roof level, photovoltaic cells and alterations to the shopfront, including a bridge over the existing lightwell.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBSQ8CRPL2M00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,15/08151/FULL,,"27 Soho Square
London
W1D 3QR
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=15/08151/FULL,OSGB36,529739.7053,181195.7013,0.05433375,unknown ownership,yes,permissioned,full planning permission,19/04/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTZUVARP00400,,21,"Demolition of existing facades and existing fourth, fifth and sixth floor levels, erection of new facades on Greek Street, Soho Square and Bateman Buildings  and replacement of fourth, fifth, sixth floors, and new seventh floor level, in connection with the use of part basement, part ground and first to seventh floor levels as 21 residential units. Triple alternative use of part basement and part ground floor level  as retail (Class A1) and/or financial and professional service (Class A2) and/or restaurant/cafe (Class A3) with associated shopfront alterations to all facades at ground floor level. Creation of terraces at fifth and sixth floor level, Juliette balconies to all facades and a plant area at roof level.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTZUVARP00400,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/09379/COFUL,,"Development site at 346-352 Ladbroke Grove and 26-28 St. John's Terrace, London, W10 4RB",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/09379/COFUL,OSGB36,523898.7402,182398.8065,0.044434556,unknown ownership,yes,permissioned,full planning permission,07/11/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEB0AZRPMCQ00,,23,"Demolition of existing structures and redevelopment by erection of two buildings comprising a three storey northern block and a five storey southern block to provide 23 affordable housing residential units (23x1 bedroom flats) with central courtyard, roof terraces, landscaping, one on-site car parking space and pedestrian access to St John's Terrace and Ladbroke Grove. (Council's Own Development) (Site also known as Nos.26-28 St. John's Terrace).",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEB0AZRPMCQ00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17/02405/FULL,,"525 Harrow Road
London
W10 4RH",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17/02405/FULL,OSGB36,524075.1023,182409.1687,0.017028125,unknown ownership,,pending decision,,,,,10,Continued use as public house (Use Class A4) at basement and ground floors and conversion of upper floors into six residential units. Roof extension to existing building. Erection of five storey mixed-use building over beer garden restating Class A4 use at ground floor level and provision of four residential units on upper floors. Demolition of pub garden outbuildings and boundary wall to Harrow Road.,,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17/04106/FULL,,"Widley Road Garage 
Widley Road
London
W9 2LD",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17/04106/FULL,OSGB36,525357.7705,182486.1322,0.054084872,unknown ownership,,pending decision,,,,,23,"Demolition of existing building; excavation to create additional basement storey;  erection of a residential (Class C3) building arranged over basement, lower ground, ground and five upper storeys to provide up to 23no. residential  dwellings; provision of external amenity space, associated on-site car parking and cycle parking facilities, landscaping works and other associated works.",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,14/10572/FULL,,"Grove House 88 - 94 Westbourne Grove, London, W2 5RT",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/10572/FULL,OSGB36,525437.4826,181152.4564,0.0293603,unknown ownership,yes,permissioned,full planning permission,09/09/2015,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDY49LRPN2Q00,,11,"Demolition of existing building and erection of new basement plus six storey building to provide 11 residential units (6 x 1 bed, 1 x 2 bed and 4 x 3 bed units) at first to fifth floor and A1 retail use at basement and ground floor levels. Removal of two street trees.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDY49LRPN2Q00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/01573/FULL,,"74-76 Princes Square
, London, 
W2 4NP
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/01573/FULL,OSGB36,525454.8808,180851.501,0.029854505,unknown ownership,yes,permissioned,full planning permission,24/05/2016,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2YYL5RPHRX00,,17,Conversion of 26 serviced apartments within part of the building to form 17 residential units. Installation of new French doors and new cycle parking and refuse stores in the ground floor courtyard and installation of balustrade to front dormer windows and existing terrace at rear fourth floor.,,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2YYL5RPHRX00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,16/10952/COFUL,,"111B Shirland Road
London
W9 2EL
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/10952/COFUL,OSGB36,525511.5406,182345.3051,0.03300547,unknown ownership,yes,permissioned,full planning permission,25/08/2017,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGQPMSRPGXS00,,31,"Demolition of the existing buildings and redevelopment of site to provide 84 bed care home (Use Class C2) 31 self-contained residential flats (Class C3) and community room at ground floor level (Use Class D1). The new building is part five and part four stories high, set over lower ground and four upper levels and includes balconies/terraces to the front and rear. New podium deck and associated landscaping and gardens at rear lower ground and upper ground floor levels. Associated alterations.",,,0,0,,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGQPMSRPGXS00,5-15 House Supply,30/11/2017,30/11/2017
http://opendatacommunities.org/doc/london-borough-council/westminster,Westminster City Council,17/06677/FULL,,"Esca House
32 Palace Court
London
W2 4HZ
",https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=17/06677/FULL,OSGB36,525557.3442,180747.047,0.008924347,unknown ownership,,pending decision,,,,,28,"Variation of Condition 1 of planning permission dated 19 January 2016 (RN: 15/05691/FULL) for the demolition of Esca House, 34 Palace Court and demolition behind the retained facade of 1-4 Chapel Side. Redevelopment and change of use from office to provide up to 24 residential units over floors of basement, ground, first, second, third and fourth floor levels, including the accommodation of 18 car parking spaces, 24 cycle spaces and plant at basement level from RN 15/05691/Full. NAMELY, to vary  drawings and other documents listed on this decision letter to reflect the proposed increase in the number of flats from 24 to 28 units, amendments to the arrangement of car parking spaces and detailed design changes.",,,0,0,,,5-15 House Supply,30/11/2017,30/11/2017
