ORGANISATIONURI,ORGANISATIONLABEL,SITEREFERENCE,PREVIOUSLYPARTOF,SITENAMEADDRESS,SITEPLANURL,COORDINATEREFERENCESYSTEM,GEOX,GEOY,HECTARES,OWNERSHIPSTATUS,DELIVERABLE,PLANNINGSTATUS,PERMISSIONTYPE,PLANNINGSTATUSEXTRA1,PLANNINGSTATUSEXTRA2,PLANNINGAPPLICATIONREF,PERMISSIONDATE,PLANNINGHISTORY,PROPOSEDFORPIP,MINNETDWELLINGS,DEVELOPMENTDESCRIPTION,NONHOUSINGDEVELOPMENT,PART2,NETDWELLINGSRANGEFROM,NETDWELLINGSRANGETO,HAZARDOUSSUBSTANCES,SITEINFORMATION,NOTES,FIRSTADDEDDATE,LASTUPDATEDDATE
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-45,,"Arkwright Walk(regeneration site) , Arkwright Walk, Meadows",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14323904,52.94258854,1.19929,owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01999/PFUL3,20170131,http://publicaccess.,,88,"Erection of 112 new dwellings, comprising of 78 houses and 34 apartments and associated parking",,,88,88,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-40,,"Blackstone  Walk Meadows (regeneration site) , Blackstone  Walk Meadows  ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14892535,52.94311891,0.51567,owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01999/PFUL3,20170131,http://publicaccess.,,23,"Erection of 112 new dwellings, comprising of 78 houses and 34 apartments and associated parking",,,23,23,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-39,,"Meadows Q Blocks: Site At Saffron Gardens And Beardsley Gardens And Site Of The Former Cromarty Court (Site A), Site At Middle Furlong Gardens (Site B), Site At Tarbert Close (Site C) And Bosworth Walk (Site D), NG2 1PR, Saffron Gardens And Beardsley Gard",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1576231,52.94133133,1.569,owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,14/02092/PFUL3,20141114,http://publicaccess.,,54,Demolition of existing units on site and construction of 54 new build houses and bungalows,,,54,54,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/537,,"Petrol Filling Station, London Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14076636,52.95052242,0.18642,not owned by a public authority,yes,pending decision,,Perm. awaiting Sect. 106,,,,,,85,,,,85,85,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/407,,"Site of the former Wilford Public House, Gritley Mews",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15375966,52.94336912,0.1891,not owned by a public authority,,not permissioned,,10 or more dwellings without planning permission,,10/01245/PFUL3,20100715,http://publicaccess.,,15,,,,15,15,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-40,,"Players Court, Player Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17534956,52.96193809,0.80083,not owned by a public authority,yes,not permissioned,,10 or more dwellings without planning permission,,13/02679/PACPD,20131223,http://publicaccess.,,189,Conversion of offices to C3 residential dwellings (197 apartments).,,,189,189,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/507,,Chalfont Drive - Former Government Buildings,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1979648,52.96418155,13.79297,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Variation of Condition,15/01345/PVAR3,20151120,http://publicaccess.,,433,"Outline application for the redevelopment of the site with up to 475 residential units, retention of bunker for part storage (B8) of archives and part-combined heat and power facility; provision of public open space and construction of access roads (varia",,,433,433,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/508,,"1,2 and Lacetex Ltd, Holland Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17048069,52.96367743,0.43537,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/01567/PFUL3,20160920,http://publicaccess.,,15,15 dwellings and associated works following demolition of existing buildings.,,,15,15,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/645,,Site Of 350 To 358 Haydn Road Nottingham NG5 1EA,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16398521,52.97902087,1.38526,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/02814/PFUL3,20160803,http://publicaccess.,,20,20 new dwellings and associated works.,,,20,20,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1570,,35 Wiverton Road,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1592879,52.96941963,0.02548,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,14/01006/PFUL3,20140808,http://publicaccess.,,5,Conversion of existing building to 3 flats and provision of off-street parking and amenity area.,,,5,5,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-48,,"The White House , Beech Avenue ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1650206,52.97182411,0.30222,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,14/00712/PFUL3,20150924,http://publicaccess.,,48,Conversion to 48 apartments and alterations.,,,48,48,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-54,,"The Irwin Business Centre, Church Street, Old Basford",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17688043,52.98032181,0.10961,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/00549/PFUL3,20160129,http://publicaccess.,,15,Conversion to 15 self-contained flats.,,,15,15,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-55,,2 And 3 Newcastle Chambers   NG1 6HL,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1524771,52.95327793,0.02574,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Listed Building,15/00554/LLIS1,20150511,http://publicaccess.,,8,Conversion to 8 one bed flats.,,,8,8,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-57,,"117 Ground Floor, The Boulevard Hartley Road, NG7 3AQ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1761007,52.96007734,0.14999,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/00714/PFUL3,20150508,http://publicaccess.,,7,Conversion of first floor to 7 flats and new ground floor entrance canopy and steps. Change of use of ground floor to restaurant.,,,7,7,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-63,,410 - 414 Radford Road  NG7 7NP,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17434926,52.97184675,0.05006,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/00854/PFUL3,20150602,http://publicaccess.,,8,Conversion to 8 apartments.,,,8,8,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-64,,"Norwich Union House 8 - 12 , South Parade ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14977741,52.9528584,0.10075,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/00951/PFUL3,20150921,http://publicaccess.,,15,"Conversion of the rear part of the first floor and all of the upper floors to student accommodation, comprising 15 apartments (87 bedrooms in total). Alterations to the front and rear elevations.",,,15,15,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-81,,"2 - 4 , Clinton Terrace, Derby Road NG7 1LY",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16418023,52.95491596,0.09556,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/01696/PFUL3,20151014,http://publicaccess.,,11,Conversion of existing office building into 11no apartments and associated works including extension of car park and removal of render to south elevation.,,,11,11,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-90,,"The Moog , Newdigate Street  NG7 4FD",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16420622,52.95843709,0.02621,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/02161/PFUL3,20160127,http://publicaccess.,,8,Extensions and conversion to create 9 self contained flats.,,,8,8,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-00,,"The Pavilion, 3 Russell Road ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16662084,52.96631503,0.19075,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/02769/PFUL3,20160204,http://publicaccess.,,8,Alterations to roof to create roof level extensions to provide 8 additional apartments.,,,8,8,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-06,,"6 Victoria Street, NG1 2EW",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14674152,52.95305667,0.03901,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Listed Building,15/03173/LLIS1,20160329,http://publicaccess.,,14,"Change of use of first and second floors to 13 studios and 1 no 2 bed flat (all C3), internal alterations and new window to rear elevation.",,,14,14,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-39,,"117 2nd floor, The Boulevard Hartley Road, NG7 3AQ ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1761007,52.96007734,0.14999,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/01522/PFUL3,20150729,http://publicaccess.,,5,Conversion of second floor to 5 flats. Change of use of ground floor to restaurant.,,,5,5,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-51,,32 Russell Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16492437,52.95966067,0.13608,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01445/PFUL3,20170308,http://publicaccess.,,124,Erection of a five storey student accommodation building comprising 124 studio apartments and ancillary facilities.,,,124,124,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-52,,"Old Town Hall, Highbury Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.19590147,53.00020132,0.04831,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01831/PFUL3,20170321,http://publicaccess.,,21,Proposed Conversion and Change of Use to Residential - 21 No. Apartments,,,21,21,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-53,,"10-12 Ebury Road, Nottingham",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15826112,52.97230481,0.12237,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,16/01099/PFUL3,20160818,http://publicaccess.,,16,"Conversion to 16 flats, demolition of outbuildings and associated works.",,,16,16,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-64,,Nottinghamshire Royal Society For The Blind Ortzen Street Nottingham NG7 4BN,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1681582,52.96067433,0.22595,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/03191/PFUL3,20160406,http://publicaccess.,,16,Conversion and new build to provide 16 single bed residential units and associated works.,,,16,16,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-85,,Derbyshire Haven 2 Brendon Road Nottingham NG8 1HW,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.20650617,52.95549869,0.06041,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01570/PFUL3,20161104,http://publicaccess.,,7,Change of use of 2 storey Care Home into 7 new self contained apartments. New apartments to consist of 4 one bed and 3 two bedroom apartments.,,,7,7,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-87,,Site Of Mellors Court Sullivan Close Nottingham,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12195849,52.96331081,0.55261,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01616/PFUL3,20161222,http://publicaccess.,,26,26 New dwellings and associated works.,,,26,26,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-98,,8A Oxford Street Nottingham NG1 5BN,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1578267,52.95339213,0.0198,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01973/PFUL3,20161222,http://publicaccess.,,5,Change of use from offices (B1) and estate agency (A2) to five flats (C3).,,,5,5,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-05,,Archer House 14-22 Castle Gate Nottingham NG1 7AW,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1503742,52.95153311,0.11437,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Variation of Condition,16/02734/PVAR3,20170331,http://publicaccess.,,107,Conversion and extension to create student accommodation (Variation of condition S1 of planning permission reference 15/01593/PFUL3 to enable 10 additional studio rooms).,,,107,107,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-07,,509-511 Alfreton Road Nottingham NG7 5NH,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1795289,52.96414895,0.06275,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/02851/PFUL3,20170214,http://publicaccess.,,7,"7 self contained apartments, ground floor extension to ground floor commercial unit and associated external alterations",,,7,7,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-14,,Site Of 43A Gregory Boulevard Nottingham,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16970068,52.96582988,0.07953,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,14/01811/PFUL3,20160913,http://publicaccess.,,23,"New commercial development comprising of ground floor commercial unit for retail (A1), restaurant (A3) or takeaway (A5) use, with 23 student studio flats above and associated works.",,,23,23,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-17,,22 The Ropewalk Nottingham NG1 5DT,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16050365,52.95458407,0.03862,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,16/01391/PACPD,20160720,http://publicaccess.,,5,Conversion of offices to C3 residential (5 apartments).,,,5,5,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/160,,"197 Gladstone Street,  NG7 6HX",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16488467,52.97146019,0.05108,not owned by a public authority,yes,permissioned,outline permission,outline permission,Outline,15/02866/POUT,20151231,http://publicaccess.,,5,Outline application for 5 dwellings following demolition of existing building.,,,5,5,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/169,,"Ellis and Everard site, Haydn Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16452253,52.97701424,1.01335,not owned by a public authority,yes,permissioned,outline permission,outline permission,Outline,15/03103/POUT,20160906,http://publicaccess.,,29,Residential development.,,,29,29,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-67,,48A Park Lane Nottingham NG6 0DT,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.1802595,52.98823316,0.0498,not owned by a public authority,yes,permissioned,outline permission,outline permission,Outline,16/00540/POUT,20160614,http://publicaccess.,,8,Outline application for residential development following demolition of existing buildings.,,,8,8,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-09,,Site of the Winning Post Farnborough Road Nottingham NG11 8GF,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17214038,52.9124089,0.22744,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,17/01386/pful3,20170929,http://publicaccess.,,10,Residential development,,,10,10,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-49,,14 Hounds Gate   NG1 7BA,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15026114,52.95200493,0.10266,not owned by a public authority,yes,permissioned,other,other,Prior Approval,15/00374/PACPD,20150402,http://publicaccess.,,43,Conversion of offices to C3 residential. (43 apartments),,,43,43,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-50,,"Radford House , Radford Boulevard ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17592053,52.96160337,0.37729,not owned by a public authority,yes,permissioned,other,other,Prior Approval,15/00431/PACPD,20150409,http://publicaccess.,,143,Conversion of offices to C3 residential. (143 apartments),,,143,143,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-72,,"93 - 95 Upper Parliament Street , NG1 6LA",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15372322,52.95444,0.02147,not owned by a public authority,yes,permissioned,other,other,Prior Approval,15/01614/PACPD,20150804,http://publicaccess.,,8,Conversion of first and second floor offices to C3 residential. (8 apartments),,,8,8,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-73,,"561 Valley Road , NG5 1JG",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17406834,52.98007263,0.03567,not owned by a public authority,yes,permissioned,other,other,Prior Approval,15/01620/PACPD,20150811,http://publicaccess.,,7,Conversion of offices to C3 residential. (7 apartments),,,7,7,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-88,,1 Howard Street . NG1 3LT,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14574514,52.95677004,0.02628,not owned by a public authority,yes,permissioned,other,other,Prior Approval,15/02141/PACPD,20150902,http://publicaccess.,,5,Conversion of offices to C3 residential. (5 apartments),,,5,5,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-70,,3 Pelham Road Nottingham NG5 1AP,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15755539,52.97061316,0.08038,not owned by a public authority,yes,permissioned,other,other,Prior Approval,16/00778/PACPD,20160517,http://publicaccess.,,10,Conversion of offices to C3 residential. (10 apartments),,,10,10,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-89,,Kingswood House 11 Pelham Road And 16 Vivian Avenue Nottingham NG5 1AP,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15599663,52.97115226,0.15063,not owned by a public authority,yes,permissioned,other,other,Prior Approval,16/01639/PACPD,20160908,http://publicaccess.,,18,Conversion of offices to C3 residential (18 apartments).,,,18,18,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1667,,Edwards Lane - Former Haywood School Site,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15040496,52.99410628,3.36849,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Variation of Condition,14/02226/PVAR3,20141212,http://publicaccess.,,14,"Variation of planning conditions to amend timing of submission of revised house types or design details (condition 11), window reveals (condition 12), and timing of implementation of footpath connections (condition 22) of planning permission reference 14/",,,14,14,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-19,,"St Marys Court, St Marys Gate, NG1 1AY",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14400868,52.95220842,0.04592,not owned by a public authority,yes,permissioned,other,Under Construction,Full,13/01575/PACPD,20130807,http://publicaccess.,,14,Conversion of offices to 26 x C3 residential dwellings. (This development relates to Block A and B - Block C already converted under pp ref 13/00210/PFUL).,,,14,14,,,,20171215,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-42,,"Former Old Peacock, 136 Ilkeston Road",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17024965,52.95610979,0.09092,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,14/01735/PFUL3,20141020,http://publicaccess.,,12,Conversion and extensions to create student accommodation (revised scheme).,,,12,12,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-98,,"1, 1A And 3 And 3A Canning Chambers , Canning Circus",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16103865,52.95603729,0.01891,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,12/03192/PFUL3,20130426,http://publicaccess.,,12,Conversion of existing and four storey extension to side to form 10 apartments.,,,12,12,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-08,,11 Cranmer Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14799642,52.9650204,0.30038,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Variation of Condition,14/00054/pvar3,20140227,http://publicaccess.,,10,"Removal of condition 10 of planning permission reference 95/00528/PFUL3 to allow non-student occupation of flats *Loss of student accomodation, non-student gain*",,,10,10,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-11,,15 Long Row Nottingham NG1 2DH,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14889497,52.95400409,0.04001,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,13/02566/PFUL3,20131223,http://publicaccess.,,6,Change of use and extension of upper floors to create six apartments.,,,6,6,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-14,,198 Sneinton Dale,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.12178658,52.95426267,0.10946,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,13/00800/PFUL3,20130710,http://publicaccess.,,6,Seven retail units with seven dwellings above.,,,6,6,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-15,,"Barnardos 2 Clinton Avenue, NG5 1AW",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15481411,52.9720781,0.07544,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,13/01501/PFUL3,20130906,http://publicaccess.,,8,Change of use to care home and alterations to form car park and garden.,,,8,8,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-17,,11 Market Street,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15154941,52.95419406,0.00806,not owned by a public authority,yes,permissioned,other,other,Prior Approval,13/03134/PACPD,20140218,http://publicaccess.,,13,Conversion of offices to C3 residential. (9 apartments),,,13,13,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-18,,"Mayfair Court, North Gate",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.17151335,52.97395477,0.26291,not owned by a public authority,yes,permissioned,other,other,Prior Approval,13/01894/PACPD,20130923,http://publicaccess.,,10,Conversion of offices to C3 residential dwellings (10 apartments).,,,10,10,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-19,,65 Long Row,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15304816,52.9542187,0.02473,not owned by a public authority,yes,permissioned,other,other,Prior Approval,13/02934/PACPD,20140130,http://publicaccess.,,11,Conversion of offices to C3 residential dwellings. (11 apartments).,,,11,11,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-22,,"Maville House, Maville Works, Beech Avenue",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16587769,52.97190684,0.2049,not owned by a public authority,,permissioned,other,other,Prior Approval,13/01887/PACPD,20130923,http://publicaccess.,,40,Conversion of offices to C3 residential dwellings (40 apartments).,,,40,40,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-23,,"Perrys Factory, Russell Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.16580711,52.95960546,0.10477,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Listed Building,15/02754/LLIS1,20160907,http://publicaccess.,,78,"Alterations to building, including demolition and reconstruction of single storey rear range to provide for conversion to student studio accommodation (alternative to Listed Building Consent reference 13/02214/LLIS1)",,,78,78,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-39,,"1 King Edward Court, King Edward Street",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.14461799,52.9558175,0.16997,not owned by a public authority,yes,permissioned,other,other,Prior Approval,14/00427/PACPD,20140411,http://publicaccess.,,22,Conversion of offices to C3 residential dwellings. (22 apartments).,,,22,22,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-18,,"Maid Marian House, Maid Marian Way",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15260746,52.95126066,0.07187,not owned by a public authority,yes,permissioned,full planning permission,Under Construction,Full,15/02962/PFUL3,20160421,http://publicaccess.,,54,"Proposed two-storey rooftop extension to form 33no. self-contained residential studios, including works to the external appearance of the existing building",,,54,54,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,Sep-26,,"Hounds Gate House, 41 to 43, Hounds Gate",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.15121232,52.95133616,0.05961,not owned by a public authority,yes,permissioned,other,other,Prior Approval,15/01033/PACPD,20150605,http://publicaccess.,,23,Conversion of offices (B1) to 23 dwellings (C3).,,,23,23,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/1762,,Bulwell Lane - Former Coach Depot,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.18373377,52.98963978,0.55422,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,15/01102/PFUL3,20150723,http://publicaccess.,,32,Residential development comprising 32 dwellings and associated works.,,,32,32,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/506,,Beechdale Road - South of Former Co-op Dairy,http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.20260525,52.96513858,0.94731,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Reserved Matters,15/02582/PRES4,20151204,http://publicaccess.,,36,"Application for reserved matters approval conditions 3 (external materials), 4 (hard surfacing) and 11 (surface water drainage) of outline planning permission reference 11/00785/POUT.",,,36,36,,,,20160624,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,9/696,,"Daleside Road - Former Colwick Service Station, ",http://maps.nottinghamcity.gov.uk/insightmapping/#,ETRS89,-1.09755479,52.95470691,0.53831,not owned by a public authority,yes,permissioned,full planning permission,full planning permission,Full,14/03073/PFUL3,20150928,http://publicaccess.,,16,16 new dwellings and associated works.,,,16,16,,,,20160624,
