OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Part2,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4732,,"""Site of 2-4 Hexham Avenue, Walker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.552270058,54.97329974,0.05,Not Owned by a Public Authority,,Not Permissioned,,,,,2,,,,2,5,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4733,,"""Charlton Bonds Building, Waterloo Street""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.621089655,54.96988766,0.1,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,05/02/2016,,,22,"Conversion of dance studio, training centre and lighting centre to provide office accommodation (Class B1) at ground floor level and storage at basement level and 22 apartments (Class C3) above including creation of additional floor space in roof space, alterations to elevations, creation of terrace, provision of rooflight and ancillary garage, ",,Office accommodation (Class B1) at ground floor level and storage at basement level. Ancillary garage.,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,4759,,"""Kelly Plant, Foundry Lane, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.590305037,54.97527397,0.1,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,31/07/2015,,,10,"Erection of a three storey building comprising ten residential units (Class C3/C4) and 592 metres squared of commercial space (either A1, A2, A3 & B1) with twelve car parking spaces and associated landscaping as amended by plans received 03/11/14",,"592 metres squared of commercial space (either A1, A2, A3 & B1) ",,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5004,,"""Land at Ayton Street, Byker""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.571848395,54.97073917,0.24,Owned by a Public Authority,,Not Permissioned,,,,,10,, ,,10,17,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5203,,Newburn Riverside,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.721526239,54.97256978,36.28,Not Owned by a Public Authority,,Not Permissioned,,,,,1000,,,,1000,2105,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5245,,"""Site of former Cowgate Leisure Centre, Springfield Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.660586469,54.99842484,0.39,Owned by a Public Authority,,Not Permissioned,,,,,8,,,,8,27,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5305,,Jesmond Dene Nursery,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.605217388,54.99983201,2.27,Owned by a Public Authority,Yes,Not Permissioned,,,,,50,,,,50,122,,,Site has been marketed.,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5373,,121-131 Grainger Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.61406902,54.97298499,0.02,Not Owned by a Public Authority,Yes,Not permissioned,,,,,2,,,,2,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5404,,6 and 8 Spring Street and 60 and 62 Pitt Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.626205307,54.97475519,0.05,Not Owned by a Public Authority,Yes,Not permissioned,,,,,6,,,,6,12,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5415,,Sheriff Leas - Corner of Stamfordham Road/Springfield Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.661833728,54.99414283,0.5,Owned by a Public Authority,Yes,Permissioned,Full planning permission,22/12/2016,,,18,"Erection of 10 no bungalows, 2 storey block of 8 no apartments with associated car parking and landscaping following demolition of former YHN offices",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5421,,Land at Chalfront Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.553294533,54.9673343,0.69,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,30/03/2017,,,40,"Erection of 40 no dwellings (comprising of 32 no 2 and 3 bedroom two-storey houses and 8 no 1 bedroom apartments) with associated landscaping, highways and access (as amended by plans received 10 November 2016)",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5425,,"""Sandyford House, South Jesmond, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.60487549,54.98110979,0.07,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,15/12/2017,,,57,"Proposed extension and external alterations to Sandyford House, including the erection of four additional storeys to the existing building and 14 storey extensions to east and north elevations and change of use from offices (Class B1) to create 57 apartments (Class C3) on parts of the first to thirteenth floors and change of use of and extension to ground and lower ground floors to create commercial retail/financial and professional services/ restaurant/drinking establishment units (Class A1 and/or A2 and /or A3 and/or A4) with erection of an associated cycle storage building to the east, access and landscaping works as amended",,Change of use of and extension to ground and lower ground floors to create commercial retail/financial and professional services/ restaurant/drinking establishment units (Class A1 and/or A2 and /or A3 and/or A4),,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5466,,Coniston Court Slatyford Lane,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.675780688,54.98786129,0.45,Owned by a Public Authority,Yes,Permissioned,Outline planning permission,21/04/2017,,,34,Outline Application: Demolition of existing sheltered housing building and erection of up to 34 residential units for older persons (Class C3) with all matters reserved and stopping up of footpath between Slatyford Lane and Silver Lonnen.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5483,,Hanover Square Newcastle upon Tyne,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.612319917,54.96752687,0.04,Not Owned by a Public Authority,Yes,Not permissioned,,,,,5,,,,5,9,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5507,,"""Former Newburn Hotel, Station Road, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.74362925,54.98232223,0.08,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,30/09/2014,,,9,Conversion and extension of former public house to create 9 no. 2 bedroom apartments with associated car parking as amended by plans receive on 21/8/14 and 23/9/14,,,,,,,Site is also permissioned (2015/1836/01/DET) for conversion of public house (Class A4) and extension to form doctors surgery (Class D1) and pharmacy (Class A1) with proposed vehicular access from Grange Road ,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5527,,"""Former Salvation Army City Temple, 144 - 146 Westgate Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.621504716,54.97101161,0.09,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,28/04/2014,,,27,"Change of use of temple (Class D1) to 27 studio apartments (Class C3), erection of 2 dormer windows to rear and alterations to all elevations to include new doors, windows, rooflights and canopies as amended by plans received 07/08/2014.",,,,,,,Permission lapses 22.12.17,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5660,,"""Yewcroft Avenue, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.684518626,54.97469319,1.26,Owned by a Public Authority,Yes,Not Permissioned,,,,,40,,,,40,79,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5662,,"""Devonshire Terrace, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.613882572,54.98141987,0.05,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,02/06/2015,,,12,"Change of use from offices (Class B1) to student accommodation (12 en-suite bedrooms Sui Generis), new door to south elevation, removal of fire escape to north elevation, erection of ramp to front elevation and hard and soft landscaping",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5682,,"""Arden House, Regent Farm Road, Gosforth""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.622687362,55.01127828,0.08,Not Owned by a Public Authority,Yes,Permissioned,Other,08/07/2015,,,72,Notification of Prior Approval: Change of use of offices (Class B1a) to 72 residential dwellings (Class C3),,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5683,,"""Dobson House, Regent Farm Road, Gosforth""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.623196945,55.01110859,0.16,Not Owned by a Public Authority,Yes,Permissioned,Other,08/07/2015,,,36,Notification of Prior Approval: Change of use of offices (Class B1a) to 36 residential dwellings (Class C3),,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5684,,"""Eldon House East, Regent Farm Road, Gosforth""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.623537128,55.01140641,0.1,Not Owned by a Public Authority,Yes,Permissioned,Other,08/07/2015,,,45,Notification of Prior Approval: Change of use of offices (Class B1a) to 45 residential dwellings (Class C3),,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5685,,"""Horsley House, Regent Farm Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.625044566,55.0118592,0.15,Not Owned by a Public Authority,Yes,Permissioned,Other,08/07/2015,,,118,Notification of Prior Approval: Change of use of offices (Class B1a) to 118 residential dwellings (Class C3),,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5687,,86 - 88 Shields Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.583258938,54.97663712,0.01,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,13/07/2015,,,8,"Alterations to flats at first and second floor levels including removal of 3 dormer windows and erection of 2 new dormer windows  to front, extension to rear at second floor level creating mansard roof, alterations to elevations and creation of bin store to form 8 bedsits as amended by plans received 25/06/2015",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5694,,"""Rialto Apartments, Melbourne Street""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.603780312,54.97255838,0.01,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,10/08/2015,,,7,Erection of 4 storey extension to courtyard to provide an apartment and 6 no studio's to 2nd to 5th floors (Class C3) as supplemented by email received 03.08.2015.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5695,,"""Throckley Nursing Home, Ponteland Road, Throckley""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.75489934,54.99636183,0.21,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,31/07/2015,,,25,"Change of use of care home (Class C2) to 25 no 1 bedroom flats (Class C3), provision of cycle storage and alterations to elevations",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5713,,"""Union Chambers, 41 Grainger Street""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.616070981,54.9707413,0.06,Not Owned by a Public Authority,Yes,Permissioned,Other,09/10/2015,,,12,Notification of Prior Approval: Change of use of 1st and 2nd floors from offices (Class B1) to 12 residential flats (Class C3) and provision of bin and cycle storage in basement,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5772,,"""Abigail House Nursing And Residential Home, 173 West Avenue, Westerhope""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.693612085,54.99595394,0.12,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,12/02/2016,,,9,"Change of use of residential care home to 9 No. apartments (Class C3), erection of two storey extension to rear, alterations to elevations, provision of 12 car parking spaces, cycle storage & associated works as amended by plans received 29 January 2016.",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5783,,"""Princess Building, Queen Street, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.606740211,54.96934174,0.1,Owned by a Public Authority,Yes,Permissioned,Full planning permission,11/03/2016,,,10,"Change of use of first floor from offices (Class B1) to 10 residential apartments (Class C3) with ground floor refuse storage as amended by plans received 14/10/15, 16/10/15, 20/10/15 and 22/10/15.",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5792,,"""Northumbria University, 22 - 22 Ellison Place, South Jesmond, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.606775416,54.97602399,0.07,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,29/03/2016,,,11,"Conversion of building from offices (Class B1) to create 11 residential units (Class C4) at all floors, 2 letting offices (Class A2) and cafe (Class A3) to lower ground floor, erection of extension to rear following demolition of offshoot, increase height of roof and chimney stacks, installation of rooflights and alterations to elevations with outdoor ",,2 letting offices (Class A2) and café (Class A3) to lower ground floor,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5796,,32 - 34 Wingrove Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.647514246,54.97589728,0.02,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,19/04/2016,,,6,Change of use of part of care home (Class C2) to 6 no apartments (Class C3) with associated car parking and bin storage as amended.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5809,,40 Dean Street,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.609764474,54.9704998,0.01,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,19/05/2016,,,9,"Change of use of 1st to 3rd floors from offices (Class B1) to 9 residential flats (Class C3), with internal bin store to ground floor, alterations to elevations including installation of 4 rooflights to front and rear, as amended by plans received 10, 21 March and 27 April 2016",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5816,,"""Land To Rear of 160 West Avenue, Westerhope""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.694120729,54.99652537,0.13,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,09/06/2016,,,5,Erection of 5 no terraced/semi-detached dwellings with associated hard and soft landscaping following demolition of existing buildings.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5858,,"""Gas Holder site to East of Pottery Bank, Walker, Newcastle""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.546529311,54.96467518,1.55,Not Owned by a Public Authority,,Not Permissioned,,,,,44,,,,44,70,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5860,,35 Grosvenor Place,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.603090227,54.99109193,0.03,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,14/10/2016,,,6,"Change of use from former care home (Class C2) to 6 flats (Class C3), erection of full length dormer to rear, raising of rear offshot roof, alterations to elevations including replacement of 2 No dormer windows to front elevation and associated car parking following demolition of existing outbuildings and boundary wall (additional plans ",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5861,,37 Grosvenor Place,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.603053197,54.99119266,0.03,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,14/10/2016,,,6,"Change of use from former care home (Class C2) to 6 flats (Class C3), raising of rear offshot roof, alterations to elevations and associated car parking following demolition of existing outbuildings and boundary wall (amended by plans received 13 October 2016)",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5864,,"""Uptin House, Stepney Road""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.59565058,54.97670673,0.19,Not Owned by a Public Authority,,Permissioned,Full planning permission,11/11/2016,,,113,"Demolition of Uptin House and erection of part 4 storey part 5 storey student accommodation block incorporating 19 no. cluster flats and 92 no. studios (Class C3/C4, sui generis) with associated cycle / bin storage and landscaping.",,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5870,,"""Newcastle Technopole, Kings Manor""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.605828664,54.97385062,0.21,Not Owned by a Public Authority,,Permissioned,Other,23/11/2016,,,140,Notification for Prior Approval: Change of use of offices (Class B1) to 140 studio flats (Class C3),,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5877,,43-45 Benwell Grove,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.652173023,54.97522231,0.03,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,30/09/2016,,,6,"Demolition of 43-45 Benwell Grove and erection of 2.5 storey building to form 3 commercial units with roller shutters on ground floor commercial units only (Classes A1, A2 and A3) on ground floor with 6 residential units (Class C3) on first floor and in roof space with ATM machine located on West Road elevation (as amended by plans received 25 August 2016 and 30 August 2016)",,"3 commercial units with roller shutters on ground floor commercial units only (Classes A1, A2 and A3) with ATM machine located on West Road elevation ",,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5879,,Car Park Adjacent To 26 Saint Marys Place,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.611145172,54.9777542,0.01,Not Owned by a Public Authority,,Permissioned,Full planning permission,19/10/2016,,,7,Erection of 5 storey building consisting of office space (Class B1) to ground floor and 7 No. 1 bed student flats to upper floors (Class C3) as amended by drawings and information received 12.10.2016.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5894,,"""Land Between Broadmead Way, Whickham View, Muswell Hill And Yewcroft Avenue""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.684518626,54.97469319,1.26,Owned by a Public Authority,,Permissioned,Full planning permission,01/02/2017,,,42,Erection of 42 single storey 1 and 2 bedroom bungalows with associated landscaping and parking.,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5909,,Land At Formerly 48 Chillingham Road,https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.5746,54.9817,0.16,Not Owned by a Public Authority,,Permissioned,Outline planning permission,24/11/2016,,,10,Outline application for erection of 3 storey student accommodation development comprising 10 x 6 bedroom HMO flats ( Use Class C4) ,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5933,,"""Land at Clumber Street North, Elswick""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.63866748,54.96530795,0.5,Owned by a Public Authority,Yes,Permissioned,Outline planning permission,06/07/2017,,,20,Outline Application:  Erection of 20 Affordable Rented Assisted Living apartments for older people with Dementia (Class C3) comprising 14 no. one and 6 no. two bedroom units; a maximum of three storeys high,,,,,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/metropolitan-district-council/newcastle,Newcastle City Council ,5948,,"""Floors 1, 2 And 3, 121-127 Grainger Street""",https://www.newcastle.gov.uk/sites/default/files/wwwfileroot/planning-and-buildings/planning-policy/brownfield_register_map-18122017.pdf,OSGB36,-1.614188397,54.97287424,0.02,Not Owned by a Public Authority,Yes,Permissioned,Full planning permission,28/02/2017,,,10,Change of use of first floor from therapy and massage centre (Class D1) and second and third floors from offices (Class B1) to 10 flats Class C3) and alterations to elevations as amended by plans received 2 and 9 February 2017,,,,,,,,19/12/2017,19/12/2017
