Organisation URL,Organisation Label,SiteReference,Previously Part of,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR68,,"""Ludlow Lodge, Alcester Road,  Wallington. SM6 8BB""",https://drive.google.com/open?id=1uy3jbUDi06CmnWIz03Nhj58Spb-F7kH5,ETRS89,-0.151455,51.365322,0.68,owned by a public authority,,permissioned,full planning permission,2016-04-27,,,,"Demolition of existing buildings and redevelopment of site to provide 57 residential units (100 % affordable) in 5 new blocks rising from three to five storeys comprising twenty two 1-bed, nineteen 2-bed and sixteen 3-bed self contained flats. Together w",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR69,,"""23-50 Richmond Green, Beddington. CR0 4SA""",https://drive.google.com/open?id=11yqIM4EV3lB84WZj_0j9CWRd7hXATaIP,ETRS89,-0.125197,51.370622,0.67,owned by a public authority,,permissioned,full planning permission,2016-06-30,,,,"Demolition of existing bungalows and erection of twelve 2-bedroomed 2 storey houses and nine 3-bedroomed 3 storey houses (100% affordable) with refuse and cycle storage, 33 car parking spaces and new vehicular accesses.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR70,,"""31-35 Stafford Road, Wallington. SM6 9AP""",https://drive.google.com/open?id=1Mlm0-KV4Ew_RDjI-JuqGYokIpMPQfo9M,ETRS89,-0.145211,51.357939,0.28,not owned by a public authority,,permissioned,full planning permission,2016-07-22,,,,"Redevelopment to provide a three storey building and a four storey building comprising two retail Class A1 or A2 units (468 sq.m) and 29 one, two and three bedroom flats (9 x one-bed, 18 x two-bed and 2 x three-bed units) four of which are afforadable un",Part of a mixed-use allocation (S14),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR71,,"""1 and Mill Lane School House, Carshalton""",https://drive.google.com/open?id=1fZAtdwfQ_hY-VkrIxB4qbTSR85d7x_gM,ETRS89,-0.163664,51.367546,0.12,owned by a public authority,,not permissioned,other,,,,6,,,,6,12,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR72,,"""3 Grosvenor Road, Wallington. SM6 0EG""",https://drive.google.com/open?id=1x_c7Yb8XJvMpFjLHWWLKXgvmeObALdRF,ETRS89,-0.151166,51.361109,0.06,not owned by a public authority,,permissioned,full planning permission,2014-03-31,,,,"Erection of a detached two storey building with roof accommodation to provide two 1-
bedroomed and three 2-bedroomed self contained flats with three parking spaces,
covered cycle stand, refuse, recycling and bulk storage facilities.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR73,,"""Marston Court, 98 Manor Road, Wallington. SM6 0DW""",https://drive.google.com/open?id=1NtKjcGUL8mNpbLt_ylBMS8-6FaALu5lu,ETRS89,-0.151079,51.362350,0.07,not owned by a public authority,,permissioned,full planning permission,2013-08-15,,,,"Demolition of existing building and erection of a part four storey, part five storey building comprising an A1 retail unit on ground floor, Class B1 offices at ground and first floors and six 2 - bedroomed and three 3 - bedroomed self contained flats on",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR74,,"""1 Lynwood Drive, Worcester Park""",https://drive.google.com/open?id=1jdYuErfXtEX7SV9vwwcjakno6hPYTi1E,ETRS89,-0.244007,51.379038,0.06,not owned by a public authority,,not permissioned,other,,,,3,,,,3,14,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR75,,"""Wallington Court, Wallington""",https://drive.google.com/open?id=1p0zdDFnLSBbcwycHezmOF2sB8vVybkjj,ETRS89,-0.181093,51.357692,0.20,not owned by a public authority,,permissioned,full planning permission,,,,,,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR76,,"""The Lodge, Honeywood Walk, Carshalton. SM5 3NX""",https://drive.google.com/open?id=1hQtK_QPi7-ZVyhGcif5SjjrtZs56D6G2,ETRS89,-0.166078,51.366009,0.14,owned by a public authority,,permissioned,planning permission granted under an order,2017-02-07,,,,Prior Approval for Change of use from an office to a residential use providing 9 apartments with associated car and cycle parking.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR77,,"""Beeches House, 53 Park Hill,  Carshalton. SM5 3SE""",https://drive.google.com/open?id=1hgDc1DN7bt7zxbuvs0pkuED-tRmw6hT1,ETRS89,-0.170480,51.357876,0.06,not owned by a public authority,,permissioned,full planning permission,2017-01-12,,,,"Conversion of existing care home to provide three 1-bedroomed and two 2-bedroomed self contained flats involving alterations to elevations, increase in roof height of hipped  and flat roof section to match ridge height of existing gabled dormer and an in",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR78,,"""248 Woodcote Road""",https://drive.google.com/open?id=1Q8hEyZaG5xGHvAf3ijixkiToqKPg9QjQ,ETRS89,-0.147785,51.347359,0.10,not owned by a public authority,,not permissioned,other,,,,4,,,,4,9,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR79,,"""Allen House, 1 Westmead Road, Sutton. SM1 4LA""",https://drive.google.com/open?id=1ZGkUW4PdWTGffoUi9yWJr0dVqJK6Fdm1,ETRS89,-0.171849,51.365949,0.04,not owned by a public authority,,permissioned,planning permission granted under an order,2013-12-09,,,,Conversion of existing offices (B1) into two 2-bed and eight 1-bed self contained flats (C3) with provision of four car parking spaces on existing forecourt.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR80,,"""Redevelopment of Wandle Trading Estate, Technology Park and Riverside fronting Goat Road and Budge Lane and 37 - 39 Wood Street, Mitcham Junction. CR4 4HW""",https://drive.google.com/open?id=1BgVIjWuyRdSehLJTPY_zIRrxqIIopZA7,ETRS89,-0.161748,51.385670,2.45,not owned by a public authority,,permissioned,full planning permission,2014-09-23,,,,"Phased demolition of existing buildings (Apart from Riverside) and provision of a mixed redevelopment comprising a total of twenty eight 2 - bedroomed, forty five 3-bedroomed and twenty one 4 - bedroomed two, three and four storey terraced and semi-detac",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR81,,"""Land and buildings on the south side of Station Road, Belmont""",https://drive.google.com/open?id=1157NVYhavysMJQeydxzA0yu6cnR3Aarb,ETRS89,-0.199435,51.343407,0.18,not owned by a public authority,,permissioned,full planning permission,,,,,"Redevelopment of site comprising seven 1 bedroomed and seven 2 bedroomed self contained flats in a part three part four storey (part four part five storey at rear) building and separate building of four 4 bedroomed two storey terrace houses with roof accommodation together with twenty three car parking spaces, refuse and cycle stores, pedestrian access from Station Road and vehicular access onto The Crescent.",.,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR82,,"""1-16 Nightingale Close, Carshalton. SM5 2DD""",https://drive.google.com/open?id=1CjZ_eaumzWsle77avVANZhQWgbXpwi2F,ETRS89,-0.160998,51.376753,0.59,owned by a public authority,,permissioned,full planning permission,2013-01-30,,,,"Demolition of existing dwellings  and erection of 25 new dwellings (all affordable housing) comprising: Seven 2-bedroomed, sixteen 3-bedroomed and two 4-bedroomed in a mixture of five blocks of two storey and two storey with roof accommodation terraced h",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR83,,"""1-72 Corbet Close, Hackbridge. SM6 7AP""",https://drive.google.com/open?id=1bxwuUZ6BfRS1h1x1s0fgBGX2B58ZSelM,ETRS89,-0.160455,51.378267,1.33,owned by a public authority,,permissioned,full planning permission,2013-05-14,,,,"Demolition of four existing blocks of flats and erection of a mix of two storey houses and two storey houses with roof accommodation comprising ten 2-bedroomed, twenty nine 3-bedroomed and fifteen 4-bedroomed terraced houses.  Provision of cycle and refu",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR84,,"""Durand Close Regeneration Scheme, Durand Close, Carshalton. SM5 2FH""",https://drive.google.com/open?id=1geGzIAy-8LB2ePo36s8Xy9oq02rjN_MB,ETRS89,-0.165844,51.379930,4.11,owned by a public authority,,permissioned,full planning permission,2008-09-06,,,,Phased demolition of the existing estate buildings comprising 271 affordable dwellings and the erection of a new phased development comprising: approximately 474 residential dwellings (214 of which will be affordable or shared ownership) in the form of 1,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR85,,"""Palmerston House 5-7 Palmerston Road, Sutton. SM1 4QL""",https://drive.google.com/open?id=10hsj0Y0AJmEXcv1Q6V2KBxU1qmCGcO8U,ETRS89,-0.185546,51.365169,0.02,not owned by a public authority,,permissioned,planning permission granted under an order,2017-02-01,,,,Prior Approval for Change of use from an office to a residential use providing 7 flats along with 2 car parking spaces.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR86,,"""Southfields Court. 180 Sutton Common Road, Sutton. SM1 3JH""",https://drive.google.com/open?id=1VjZMDjG_SuacNymlMGA-tU5M-0UnwTiV,ETRS89,-0.200024,51.378644,0.28,not owned by a public authority,,permissioned,full planning permission,2017-02-24,,,,Demolition of existing 22 garages and erection of a detached two storey building comprising eight 1-bedroomed self contained flats involving cycle and refuse stores and alterations to existing parking layout.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR87,,"""Dawson House, 128-130 Carshalton Road, Sutton. SM1 4TW""",https://drive.google.com/open?id=1TYgi6hnWyBNBZYk9sHNgsSikA1h6N1dz,ETRS89,-0.185405,51.362441,0.02,not owned by a public authority,,permissioned,planning permission granted under an order,2016-11-25,,,,Change of use from an office to a residential use providing 5 dwellings,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR88,,"""Sutton Superbowl""",https://drive.google.com/open?id=1PX6LKiSf65mTXM2PSZuH3bCqmmT79kj7,ETRS89,-0.194022,51.363303,0.25,not owned by a public authority,,permissioned,full planning permission,2016-08-17,,,36.75,"Demolition of existing building and erection of a part two, part six storey building comprising part restaurant, part hotel at ground floor and 140 hotel rooms on the upper floors",Part of a mixed-use allocation (STC18),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR89,,"""32 St Dunstans Hill, Cheam. SM1 2UD""",https://drive.google.com/open?id=1KbZ3bR3qT3RAWbHqq7H0-YmE10yf9fgI,ETRS89,-0.211274,51.369838,0.08,not owned by a public authority,,permissioned,outline planning permission,2009-07-31,,,,"Outline application to demolish existing dwelling and determine access, scale and layout of a two storey building comprising six 1-bedroomed self contained flats, provision of cycle and refuse stores, eight car parking spaces and new access onto Abbotts",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR90,,"""24-34 Sutton Court Road, Sutton. SM1 4SY""",https://drive.google.com/open?id=1KfLxsX6ifygQ0S2bZ8vluHoW-v2BORTZ,ETRS89,-0.188796,51.360454,0.16,not owned by a public authority,,permissioned,full planning permission,2015-10-30,,,,"Demolition of existing buildings and erection of a new residential development comprising of a total of 132 flats in a nine storey and an eighteen storey connecting building comprising forty four 1- bedroomed, sixty nine 2- bedroomed and six 3- bedroomed",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR91,,"""Grace Court, 138 Brighton Road, Sutton. SM2 5LU""",https://drive.google.com/open?id=1fj5oqzJPEMlsEf0P77_doEfWn6SIyqqO,ETRS89,-0.194171,51.349676,0.28,not owned by a public authority,,permissioned,full planning permission,2015-07-08,,,,"Demolition of the existing building and erection of a three storey building linked to a part four, part five storey building to provide 50 residential sheltered housing units, comprising forty 1-bedroomed and ten 2-bedroomed self contained units together",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR92,,"""Helena House""",https://drive.google.com/open?id=1RV-n4AYbRysNd52APYRD_TWkJfvl2wvo,ETRS89,-0.194116,51.370840,0.11,not owned by a public authority,,permissioned,planning permission granted under an order,2015-01-14,,,157.5,Change of use from office to residential.,Part of a mixed-use allocation (STC19),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR93,,"""Sutton Park House, 15 Carshalton Road, Sutton. SM1 4LD""",https://drive.google.com/open?id=129cyXyovY2kP7HVxcx2-cSLdt2AXmM4r,ETRS89,-0.191400,51.361813,0.26,not owned by a public authority,,permissioned,planning permission granted under an order,2014-12-24,,,,Change of use from office to residential.,Part of a mixed-use allocation (STC21),,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR94,,"""18 Avenue Road, Belmont""",https://drive.google.com/open?id=1wcg1kjhMk485Th6zwioECkXYu_UI-80V,ETRS89,-0.211240,51.348516,0.70,not owned by a public authority,,permissioned,other,,,,,Change of use from an office to a residential use providing 8 flats.,.,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR95,,"""Unilink House 21, Lewis Road, Sutton. SM1 4BR""",https://drive.google.com/open?id=1PzWP1PLDduBMkSpf9iaovSXI9mKOlkf9,ETRS89,-0.193941,51.369105,0.02,not owned by a public authority,,permissioned,planning permission granted under an order,2014-08-12,,,,Change of use from office to residential.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR96,,"""Indepth House, Wellesley Road, Sutton. SM2 5BW""",https://drive.google.com/open?id=121Caiz3hhiAPuvlC2UNT55yZvu3nuQaK,ETRS89,-0.190049,51.358539,0.03,not owned by a public authority,,permissioned,full planning permission,2014-04-25,,,,"Conversion of premises to provide seven 1 bedroomed and two 2 bedroomed self contained flats involving, erection of a second floor and a three storey side extension and alterations to elevations.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR97,,"""7 Woodside Road, Sutton. SM1 3SU""",https://drive.google.com/open?id=14bWIOMQy9ua7GW9mqE4ZAnIhBnzys01Z,ETRS89,-0.190005,51.370900,0.08,not owned by a public authority,,permissioned,full planning permission,2011-12-08,,,,"Application for a replacement planning permission to extend the time limit for implementation of application number B2008/59341/FUL for:- Remodelling, refurbishment and extension of building incorporating a three storey front and side extension built in",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR98,,"""Development of Homelands, Dorset Road, and 80 - 82 York Road, Cheam SM2 6HJ""",https://drive.google.com/open?id=1aA6TfsyvwZQlJVuK6-40KCaVtRx3hjQJ,ETRS89,-0.204908,51.347828,0.23,not owned by a public authority,,permissioned,full planning permission,2010-10-29,,,,Application for a replacement planning permission in respect of application number B2007/57342/OUT granted on 15 june 2007 for outline application with all matters reserved of a two storey extension to rear and both sides of 82 York Road to provide a tot,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR99,,"""27 Grange Road, Sutton. SM2 6SY""",https://drive.google.com/open?id=1JFl16lTfI1WtSvBDXeK41TPX-NfqsIDY,ETRS89,-0.197125,51.354663,0.09,not owned by a public authority,,permissioned,full planning permission,2010-01-12,,,,"Demolition of existing house and erection of a three storey building comprising one 1-bedroomed and eight 2-bedroomed self-contained flats together with refuse and cycle facilities, three car parking spaces served by an existing access from Grange Road a",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR100,,"""37 The Highway. Sutton. SM2 5QS""",https://drive.google.com/open?id=1UaEc8TpSaicXCsDe5AurmSVsP6CwMWnW,ETRS89,-0.186206,51.347498,0.49,not owned by a public authority,,permissioned,full planning permission,2005-08-18,,,,Demolition of existing dwelling and erection of an 8-bedroomed detached house with roof accommodation incorporating an integral double garage and new access.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR101,,"""40 The Broadway, Cheam. SM3 8BD""",https://drive.google.com/open?id=1ZNa7Q9p0kHA1Ui7Jn5E4ocCoytqrcbCX,ETRS89,-0.216270,51.358842,0.16,not owned by a public authority,,permissioned,full planning permission,2017-02-13,,,,"Erection of a new second floor comprising five 1-bedroomed and two 2-bedroomed self-contained flats, with new car park layout, new cycle parking and storage, alterations to existing facades, new landscaping and amenity space and other associated works.",,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR102,,"""Land at Cheam Station, OCEANTECH House""",https://drive.google.com/open?id=1iXOoNcjK7hfptCyi46P8vpdkpXSEo-Bd,ETRS89,-0.214783,51.355051,0.10,not owned by a public authority,,permissioned,planning permission granted under an order,2016-09-16,,,50.31576215,Change of use from an office to a residential use providing 14 x1 bed flats along with 14 car parking spaces.,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR103,,"""711-715 London Road, North Cheam. SM3 9DL""",https://drive.google.com/open?id=1_-m3qjgIMb3AC-ajP-PsVusErz5UNkqg,ETRS89,-0.222311,51.376813,0.05,not owned by a public authority,,permissioned,planning permission granted under an order,2014-03-18,,,,Prior Approval application to convert existing B1(a) (Office) use to C3 (Residential) use at ground and first floor creating six units comprising two 1-bed and four 2-bed flats with associated cycle and car parking,,,,,,,,2017-12-31,2017-12-31
http://opendatacommunities.org/id/london-borough-council/sutton,London Borough of Sutton,LBS-BLR104,,"""Haredon House, 810 London Road, North Cheam. SM3 9BS""",https://drive.google.com/open?id=11_3RKW8fIm_xDljr1BnlECWqZ9WYNNSb,ETRS89,-0.218995,51.378900,0.46,not owned by a public authority,,permissioned,full planning permission,2010-11-18,,,,Partial change of use extensions at ground floor level & external alterations to provide a mixed use development comprising one 1-bedroomed flat six 2-bedroomed & two 3-bedroomed self contained flats at third floor level retention & refurbishment of B1 o,,,,,,,,2017-12-31,2017-12-31
