OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PermissionDate1,FirstAddedDate1,LastUpdatedDate1
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0093,,"Windsor House, 33 - 39 Spittal Street, Marlow, SL7 3HJ",http://mywycombe.wycombe.gov.uk,ETRS89,-0.776618,51.573,0.1,not owned by a public authority,yes,permissioned,Full planning permission,,,,11,"Demolition of existing building and hard standing and erection of a mixed use development comprising 9 x 2 bed apartments and 2 x 1 bed apartment and Class A1 (shops) at ground floor (956.9 sqm) with associated parking, manoeuvring and landscaping",Class A1 retail 957m2,,,,,,14/07003/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0099,,"Abbey House 28-30 Chapel Street, Marlow, SL7 1DD",http://mywycombe.wycombe.gov.uk,ETRS89,-0.774798,51.5733,0.03,not owned by a public authority,yes,permissioned,Full planning permission,03/12/2013,,,6,Prior notification application (Class J) for change of use of existing building falling within Class B1(a) (offices) to 2 x 1 bed and 4 x 2 bed flats falling within Class C3 (dwellinghouses).,,,,,,,13/07614/PAJ,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0100,,"Regal House, 4-6 Station Road, Marlow SL7 1NZ",http://mywycombe.wycombe.gov.uk,ETRS89,-0.773938,51.57,0.21,not owned by a public authority,yes,permissioned,Full planning permission,12/05/2014,,,12,Prior notification application (Class J) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 12 x 2 bed apartments,,,,,,,14/05668/PAJ,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0106,,"Computer House, Station approach, Marlow",http://mywycombe.wycombe.gov.uk,ETRS89,-0.768059,51.5715,0.2,not owned by a public authority,yes,permissioned,Full planning permission,18/02/2016,,,9,"Demolition of existing B1 Office Building & erection of 1 terrace of 5 x 3-bed  two storey dwellings & 1 terrace of 4 x 3-bed two storey dwellings with accommodation in the roof space & associated car parking, landscaping and cycle stores",,,,,,,15/07681/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0108,,"Police Station, Dean Street, Marlow, Bucks, SL7 3AB",http://mywycombe.wycombe.gov.uk,ETRS89,-0.777149,51.5741,0.25,not owned by a public authority,yes,not permissioned,,,,,29,,,,,,,,16/06745/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SPR0001,,"Leo Laboratories, Longwick Road, Princes Risborough",http://mywycombe.wycombe.gov.uk,ETRS89,-0.83815,51.7281,3.8,not owned by a public authority,yes,permissioned,Full planning permission,31/03/2016,,,96,"Demolition of existing building and erection of 96 dwellings comprising 5 x 2 bed, 53 x 3 bed, 17 x 4 bed, 6 x 5 bed (houses) and 3 x 1 bed, 9 x 2 bed, 3 x 3 bed (flats)",,,,,,,15/07349/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SPR0023,,"Whiteleaf, Picts Lane, Princes Risborough Buckinghamshire HP27 9DN",http://mywycombe.wycombe.gov.uk,ETRS89,-0.84244,51.7162,3.05,not owned by a public authority,yes,permissioned,Outline planning permission,30/07/2015,,,86,"Outline application (including details of external layout, scale & access) for erection of 60 house & 24 flats.",,,,,,,"14/05386/OUT, 15/07904/REM, 16/07783/REM",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SPR0032,,Land at Princes Risborough Railway Station,http://mywycombe.wycombe.gov.uk,ETRS89,-0.842814,51.7178,2.01,not owned by a public authority,yes,not permissioned,,,,,45,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SPR0089,,"Greensleeves, Maryland, Edina & Tamarity, Longwick Rd & Aylesbury Rd, Princes Risborough, Bucks , HP27 9HE",http://mywycombe.wycombe.gov.uk,ETRS89,-0.832253,51.7263,0.33,not owned by a public authority,yes,not permissioned,,,,,32,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0008,,Coal Yard Smalldean Lane Saunderton Buckinghamshire,http://mywycombe.wycombe.gov.uk,ETRS89,-0.822603,51.6756,0.67,not owned by a public authority,yes,not permissioned,,,,,6,,,,,,,,15/08368/OUT,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0126,,"Former Molins Factory, Haw Lane, Saunderton, HP14 4JE",http://mywycombe.wycombe.gov.uk,ETRS89,-0.832861,51.6794,10.29,not owned by a public authority,,not permissioned,,,,,94,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0136,,"West Yard, Saunderton",http://mywycombe.wycombe.gov.uk,ETRS89,-0.825218,51.6742,1.49,not owned by a public authority,yes,permissioned,Full planning permission,18/03/2015,,,42,"Redevelopment of site comprising demolition of existing buildings and erection of 42 dwellings with vehicular and pedestrian access onto Slough Lane, public open space, playspace, on-site car parking and landscaping.",,,,,,,14/05870/FU,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0144,,"Former Wycliffe Centre, Horsleys Green",http://mywycombe.wycombe.gov.uk,ETRS89,-0.863937,51.6472,9.85,not owned by a public authority,yes,permissioned,Full planning permission,04/08/2014,,,139,"Demolition of all existing buildings and redevelopment of a supported living community providing 169 units comprising 115 supported living units, 24 care suites and 30 dementia care suite units, clubhouse incorporating community facilities",,,,,,,13/06772/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0148,,"Uplands House Hotel, Four Ashes Road, Cryers Hill, Bucks, HP15 6LB",http://mywycombe.wycombe.gov.uk,ETRS89,-0.738119,51.6576,7.58,not owned by a public authority,yes,not permissioned,,,,,59,,,,,,,,16/05053/FUL,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SWC0012,,"Westside Fruit / The Apple Orchard, Clay Lane, Booker",http://mywycombe.wycombe.gov.uk,ETRS89,-0.798019,51.6081,0.63,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,03/05990/OUT,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SWC0068,,"Water Research Centre Laboratries, Medmenham",http://mywycombe.wycombe.gov.uk,ETRS89,-0.841252,51.5473,3.3,not owned by a public authority,yes,permissioned,Outline planning permission,30/08/2013,,,5,"Outline application ( including details of access, appearance, landscaping, layout and scale) for erection of three storey dwelling house and 4 staff dwellings.",,,,,,,"11/05434/OUT, 16/07321/REM",14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SWC0082,,"Westhorpe House, Westhorpe Park, Little Marlow, SL7 3RQ",http://mywycombe.wycombe.gov.uk,ETRS89,-0.750975,51.5778,1.14,not owned by a public authority,,not permissioned,,,,,12,,,,,,,,,14/12/2017,14/12/2017,,14/12/2017 00:00,14/12/2017 00:00
