OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Eastings,Northings
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR25,,"Concept Accommodation, Wentworth Street, Ilkeston, Derbyshire, DE7 5TF","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=447275&Y=342542&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.29737935,52.978168,0.17,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,15,"Lapsed planning permission, see Notes column.",,,,,,,"The site is suitable for 15 (2 bedroom flats) as demonstrated in the following planning permission. ERE/1010/0023 planning permission: Application to extend time limit for the implementation of planning permission ERE/0806/0048 for the erection of 15 two-bedroom flats in 2 three-storey blocks, plus associated car parking. The site falls within the SHLAA2014 reference: SHLAA 675. ",05/12/2017,05/12/2017,"447,275","342,542"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR26,,"Car Park North, Stratford Street, Ilkeston, Derbyshire, DE7 8QZ","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446634&Y=343890&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.306731183,52.99034026,0.16,not owned by a public authority,yes,permissioned,outline planning permission,29/10/2015,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,9,ERE/0615/0056 planning permission: Outline planning permission with access for approval now (all other matters are reserved) for the demolition of the existing single storey workshop and construction of 9 residential units.        ,,,,,,,The site can support 9 residential dwellings (a mixture of two and three bedroom houses). The site falls within the SHLAA2014 reference: SHLAA 246.,05/12/2017,05/12/2017,"446,634","343,890"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR27,,"The Foresters, Barrons Way, Borrowash, Derbyshire, DE72 3FY","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=442112&Y=334396&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.375320633,52.90537442,0.15,not owned by a public authority,yes,permissioned,full planning permission,31/03/2017,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,10,ERE/0916/0027 planning permission: Demolition of public house and erection of 10 x 2 bedroom dwellings.,,,,,,,The site is able to support 10 dwellings (2 bedrooms) as outlined in ERE/0916/0027.,05/12/2017,05/12/2017,"442,112","334,396"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR28,,"Ilkeston Social Club, Critchley Street, Wood Street, Ilkeston, Derbyshire, DE7 8GB","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446591&Y=342143&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.307587689,52.97680753,0.14,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,11,ERE/0605/0107 planning permission has lapsed. ERE/0717/0002 planning permission decision is pending. See Notes column.,,,,,,,"The site is able to support 11 flats (2 bedrooms). ERE/0717/0002 Proposed construction of 11 no. 2 bedroom flats and associated parking areas, garden areas, dining area and bin storage areas. Decision pending. ERE/0605/0107 planning permission: Demolition of social club and erection of a block of 11 flats. Information cited in 'permission date' and 'permission type' field is related to planning permission ERE/0605/0107. The discussed planning permissions do not cover the whole of the designated brownfield site area. The site falls within the SHLAA2014 reference: SHLAA 160.",05/12/2017,05/12/2017,"446,591","342,384"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR29,,"Long Eaton Glass, 9 Broad Street, Long Eaton, Derbyshire, NG10 1JH ","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=448921&Y=333426&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.274237709,52.89608086,0.14,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,12,ERE/0417/0027 planning permission: Demolition of existing building and erection of a two storey block of 12 flats and associated works.,,,,,,,"The site is able to support 12 flats with a mixture of one and two bedroom units. The full use history of the site is not known, and has previously been labelled as a 'warehouse' in historic maps. There are possible asbestos/cement panels on the building and ground contamination is possible. As the nature of the historic industry on the site is unknown, possible ground contamination assumptions are difficult. Possible contaminants include solvents, lubricants and heavy metals. And asbestos, from the sites most current known use. The site falls within the SHLAA2014 reference: SHLAA 691.",05/12/2017,05/12/2017,"448,921","333,426"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR30,,"12 East Street, Ilkeston, Derbyshire, DE7 5JB","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446606&Y=341877&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.307437113,52.97224903,0.06,not owned by a public authority,yes,permissioned,full planning permission,30/07/2015,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,11,ERE/0615/0037 planning permission: Demolition of existing building and erection of 11 apartments with associated parking (resubmission of ERE/0714/0019).,,,,,,,This site is capable of supporting 11 flat units with a mixture of 1 and 2 bedroom flats. ,05/12/2017,05/12/2017,"446,606","341,877"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR31,,"Ex Galaxy Cinema, Derby Road, Long Eaton, Derbyshire, NG10 1LU","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=449009&Y=333837&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.272867972,52.89976718,0.06,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,25,This site has no residential planning applications submitted.,,,,,,,"Potential for demolition to erect a three/four storey building for 25 flats, depending on the design of the building, with the groundfloor being occupied for retail/leisure. This site was originally St James' Theatre in 1910 and then a picture drome/cinema and bingo hall from the early 1900's until recently. Two fires have historically occurred at the site, which has led to possible ground contamination. There are possible contaminants on the site which include asbestos, heavy metals and PAHs. The site falls within the SHLAA2014 reference: SHLAA686.",05/12/2017,05/12/2017,"449,009","333,837"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR32,,"102 Bath Street, Ilkeston, Derbyshire, DE7 8FE","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446514&Y=342192&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.308761796,52.9750884,0.05,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,6,"Lapsed planning permission, see Notes column.",,,,,,,"The site can support 6 flats, with 1, 2 and 3 bedroom layouts, as demonstrated in the following planning permission. ERE/0512/0007 planning permission: Subdivision of existing retails premises to six individual units, conversion of existing first floor to three flats and extension on the second floor to two flats. The site falls within the SHLAA2014 reference: SHLAA 616.",05/12/2017,05/12/2017,"446,514","342,192"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR33,,"164 -166, Derby Road, Long Eaton, Derbyshire, NG10 4BJ","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=448037&Y=333960&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.287298236,52.90096018,0.05,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,6,"Lapsed planning permission, see Notes column.",,,,,,,"The site can support 6 self contained flats, as demonstrated in ERE/1213/0002. ERE/1213/0002 planning permission: Demolition of part of the rear elevation and external alterations to the existing building to form 6 self contained flats including works to form a new access. The site falls within the SHLAA2014 reference: SHLAA 661.",05/12/2017,05/12/2017,"448,037","333,960"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR34,,"First Floor, 1-3 Tamworth Road, Long Eaton, Derbyshire, NG10 1JE","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=449141&Y=333567&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.270946545,52.89732827,0.05,not owned by a public authority,yes,permissioned,full planning permission,19/04/2017,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,6,"ERE/0317/0038 planning permission: Change of use of first floor to 6 apartments, existing ground floor single retail unit split into two retail units.",,,,,,,"The site can support 6 apartments (a mixture of 1 and 2 bedroom apartments), as outlined in ERE/0317/0038. A previous permission for the site is ERE/1114/0013: Change of use of first floor from gym (D2) to five apartments (C3) and external alterations including recladding of front elevation.

",05/12/2017,05/12/2017,"449,141","333,567"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR35,,"Second Floor, 1-3 Tamworth Road, Long Eaton, Derbyshire, NG10 1JE","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=449141&Y=333567&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.270946545,52.89732827,0.05,not owned by a public authority,yes,permissioned,full planning permission,20/04/2017,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,6,ERE/0317/0037 planning permission: Prior notification of construction of 6 apartments. ERE/1214/3009 planning permission: Prior notification of change of use of second floor from B1 office use to use falling within use class C3 dwelling houses (5x apartments).,,,,,,,"The site can support 6 apartments (a mixture of 1 and 2 bedroom apartments), as outlined in ERE/0317/0037. A previous permission for the site is ERE/1214/3009: Prior notification of change of use of second floor from B1 office use to use falling within use class C3 dwelling houses (5 apartments).",05/12/2017,05/12/2017,"449,141","333,567"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR36,,"The Old Church, Critchley Street, Ilkeston, Derbyshire, DE7 8GD","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446668&Y=342319&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.306450438,52.97621659,0.04,not owned by a public authority,yes,not permissioned,,,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,6,"Lapsed planning permission, see Notes column.",,,,,,,The site can support 6 flats as demonstrated in the following planning permission. ERE/0413/0047 planning permission: Application for new planning permission to replace extant permission ERE/0410/0022 for demolition of gym and construction of six apartments with parking in order to extend the time limit for implementation. The site falls within the SHLAA2014 reference: SHLAA 180.,05/12/2017,05/12/2017,"446,668","342,319"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR37,,"51 Norman Street, Ilkeston, Derbyshire, DE7 8JZ","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446277&Y=343290&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers  ",ETRS89,-1.31213432,52.9849782,0.03,not owned by a public authority,yes,permissioned,full planning permission,12/02/2015,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,7,"ERE/1114/0050 planning permission: Change of use of take away (A5) with living accommodation to 7 self-contained flats (C3) including a two storey side extension, a first floor rear extension, the insertion of dormer windows and a single storey rear extension -(resubmission of 0114/0006).",,,,,,,"This site is able to support 7 self-contained flats, as outlined in planning permission ERE/1114/0050. ",05/12/2017,05/12/2017,"446,277","343,290"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR38,,"14 Bath Street, Ilkeston, Derbyshire, DE7 8FB","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=446531&Y=341873&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers ",ETRS89,-1.308554384,52.97221957,0.02,not owned by a public authority,yes,permissioned,full planning permission,27/01/2016,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,12,"ERE/1015/0065 planning permission: Removal of rear lift shafts, staircases and metal building, change of use and conversion of ground floor to three retail units including new shopfronts, change of use of upper floors to 12 dwellings, addition of second floor extension to side elevation, access stair to rear elevation and alterations to and insertion of doors and windows.",,,,,,,"The site is able to support 12 residential units (a mixture of studio and one-bedroom flats, as outlined in planning permission ERE/1015/0065.",05/12/2017,05/12/2017,"446,531","341,873"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR39,,"Land Opposite The Twitchell Inn, Howitt Street, Long Eaton, Derbyshire, NG10 1ED ","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=449327&Y=333457&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,markers",ETRS89,-1.26819854,52.89632256,0.02,not owned by a public authority,yes,permissioned,full planning permission,06/06/2016,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,6,"ERE/1215/0027 planning permission: Erection of a three storey building containing six one bedroom flats, including boundary wall fronting Howitt Street and Clifford Street (re- submission of ERE/1015/0013). ERE/1117/0014 Erection of a three storey residential building containing 6 no. flats, pending decision.",,,,,,,The site is able to accommodate 6 flats as outlined in planning permission ERE/1215/0027.,05/12/2017,05/12/2017,"449,327","333,457"
http://opendatacommunities.org/id/district-council/erewash,Erewash Borough Council,BLR40,,"31A The Triangle, Ilkeston, Derbyshire, DE7 4AP","https://maps.erewash.gov.uk/rmx4-webapp/RMX/public-map.htm?X=447354&Y=340623&ZOOM=3&LAYERS=Brownfield_Land_Register_Polygon&LAYERS-VISIBLE=Brownfield_Land_Register_Polygon&ERRORS=true&TOOLBAR=backdrop,search&LEGEND=true&TABS=layers,enquire,annotate,marker",ETRS89,-1.296482862,52.9609119,0.02,not owned by a public authority,yes,permissioned,full planning permission,06/07/2016,https://myservice.erewash.gov.uk/Planning/lg/GFPlanningWelcome.page,,6,ERE/0516/0022 planning permission: Demolition of a commercial building and the erection of 6 apartments (resubmission of previous planning permission ERE/0116/0045).    ,,,,,,,This site is able to accommodate 6 apartments in replacement of a commercial building as outlined in planning permission ERE/0516/0022.,05/12/2017,05/12/2017,"447,354","340,623"
