OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartof,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeto,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Alt_Coords_X_Y,X_Ref,Y_Ref
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR395,,"""Essex House Floors 5 to 9, City Centre,Hull Local Plan Housing Allocation H395, HU1 1YU""",http://hullcc.limehouse.co.uk/file/4808561,WGS84,-0.334220822,53.74382853,0.12,not owned by a public authority,yes,Permissioned,other,2016-01-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,45,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 45 flats/dwellings. 15/01558/PCOU - Change of use from offices to30 flats.  14/00955/PCOU Change of use from Office (B1) to 15 flats.""",,,45,45,,,,2017-12-20,2017-12-20,OSGB36,509956.5035,428782.0293
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR398,,"""High Street East of Blaydes Staith, City Centre, Hull Local Plan Housing Allocation H398, HU1 1HA""",http://hullcc.limehouse.co.uk/file/4808562,WGS84,-0.329203542,53.7454817,0.21,mixed ownership,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,64,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 64 flats/dwellings. Erection of building to form 64 apartments,  accesses off Blaides Staithe, 5 floors maximum.""",,,64,64,,,,2017-12-20,2017-12-20,OSGB36,510283.0423,428973.7047
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR399,,"""2-5 High Street, City Centre,Hull Local Plan Housing Allocation H399, HU1 1HA""",http://hullcc.limehouse.co.uk/file/4808566,WGS84,-0.329235382,53.74590479,0.19,not owned by a public authority,yes,Permissioned,full planning permission,2006-02-01,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,33,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 33 flats/dwellings. 05/01645/FULL -Erection of a 4 and 5 storey residential apartment block (with 33 apartments).""",,,33,33,,,,2017-12-20,2017-12-20,OSGB36,510279.8359,429020.7223
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR403,,"""Hull Local Plan Mixed Use Site 20, Land between George Street & Queens Dock Avenue, City Centre, HU1 3AA""",http://hullcc.limehouse.co.uk/file/4808585,WGS84,-0.334899745,53.74624928,0.89,mixed ownership,yes,Permissioned,full planning permission,2017-04-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,89,"""16/01763/FULL - Change of Use and Extension of Building to form 89 Apartments (68 in existing building and 21 in new two storey roof extension).""",,,89,89,,,,2017-12-20,2017-12-20,OSGB36,509905.42,429050.2756
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR406,,"""Valbon Nightclub, 135-141 George Street,  Hull, HU1 3BN""",http://hullcc.limehouse.co.uk/file/4808581,WGS84,-0.334298883,53.7472244,0.09,mixed ownership,yes,Permissioned,full planning permission,2017-03-10,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,18,"""16/00863/FULL Change of use from nightclub to 18 flats.""",,,18,18,,,,2017-12-20,2017-12-20,OSGB36,509942.4983,429159.6819
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR428,,"""Land North of George Street, between Carroll Place and Trippet Street, City Centre,Hull Local Plan Housing Allocation H428, HU2 8AE""",http://hullcc.limehouse.co.uk/file/4808574,WGS84,-0.332160203,53.74765529,0.15,owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,36,"""Hull Local Plan 2016 to 2032 -  housing Allocation with an indicative capacity of 36 flats/dwellings. Erection of Building to form apartments.""",,,36,36,,,,2017-12-20,2017-12-20,OSGB36,510082.3966,429210.9242
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR429,,"""Land To The West Of And Burnett House, Castle Street, City Centre, HU1 1SD""",http://hullcc.limehouse.co.uk/file/4808580,WGS84,-0.334552594,53.74095879,0.03,owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,17,"""Hull Local Plan 2016 to 2032 -  housing Allocation with an indicative capacity of 17 flats/dwellings.""",,,17,17,,,,2017-12-20,2017-12-20,OSGB36,509942.1084,428462.2726
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR447,,"""109- 111 Beverley Road (Upper floors), Hull Local Plan Housing Allocation H447, HU3 1TS""",http://hullcc.limehouse.co.uk/file/4808582,WGS84,-0.348755912,53.75384563,0.07,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,20,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of 20 flats/dwellings. 13/00374/FULL (Lapsed) - Change of use and erection of 3 storey rear extension to form 20 self contained flats.""",,,20,20,,,,2017-12-20,2017-12-20,OSGB36,508972.0852,429874.0073
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR503,,"""Land to the east of Wincolmlee fronting the River Hull, City Centre, Hull Local Plan Housing Allocation H503, HU2 8AG""",http://hullcc.limehouse.co.uk/file/4808572,WGS84,-0.33166048,53.74893573,0.63,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,100,"""Hull Local Plan 2016 to 2032 -  Housing Allocation with an indicative capacity of upto 200 flats/dwellings.""",,,100,200,,,,2017-12-20,2017-12-20,OSGB36,510112.0044,429354.1401
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR787,,"""Hull Local Plan Mixed Use Site 10, Land at Tower Street/St. Peter Street, East bank of the River Hull (South), HU9 1TY""",http://hullcc.limehouse.co.uk/file/4808577,WGS84,-0.329121103,53.74185577,0.7,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,300,"""Hull Local Plan 2016 to 2032 Housing Allocation. Indicative level of potential Housing delivery based upon Application Erection of Mixed Use Development  07/01681/RES.""",,,300,390,,,,2017-12-20,2017-12-20,OSGB36,510297.9651,428570.4663
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR835,,"""Newland United Reform Church, 480 - 498 Beverley Road, HU5 1NE""",http://hullcc.limehouse.co.uk/file/4808575,WGS84,-0.352978923,53.7668733,0.13,not owned by a public authority,yes,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,22,"""13/00275/FULL (Lapsed) Erection of 2.5 and 3 storey building to provide 22 self-contained flats. Construction of new access from Brooklyn Street.""",,,22,22,,,,2017-12-20,2017-12-20,OSGB36,508660.0593,431316.813
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR879,,"""The Lawns Club, 33 Lowgate, Sutton, Sutton, Hull Local Plan Housing Allocation H879, HU7 4UT""",http://hullcc.limehouse.co.uk/file/4808573,WGS84,-0.30487542,53.77854581,0.19,not owned by a public authority,yes,Permissioned,full planning permission,2008-05-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,6,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 15 dwellings. 08/00462/FULL (implemented) Erection of 15 flats and laying out of associated parking and landscaping.""",,,6,15,,,,2017-12-20,2017-12-20,OSGB36,511799.5074,432689.9162
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR927,,"""Land at 103 8th Avenue, Hull, Hull Local Plan Housing Allocation H927, HU6 9BT""",http://hullcc.limehouse.co.uk/file/4808584,WGS84,-0.373198841,53.78653731,0.25,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,9,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 10 dwellings. 10/00904/OUT - Outline application for residential development (9 units mixture of houses and bungalows).""",,,9,10,,,,2017-12-20,2017-12-20,OSGB36,507277.2712,433473.6439
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR936,,"""Rear of 465-467 Priory Road, Hull Local Plan Housing Allocation H936, HU5 5RG""",http://hullcc.limehouse.co.uk/file/4808579,WGS84,-0.403511431,53.76472406,0.4,not owned by a public authority,yes,Permissioned,full planning permission,2016-02-17,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,10,"""Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 10 dwellings. 15/00600/OUT - Erection of 10 two storey dwellings and construction of access road off Priory Road.""",,,10,10,,,,2017-12-20,2017-12-20,OSGB36,505334.8735,431001.6695
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR1001,,"""Land at Convent Lane, Anlaby Road""",http://hullcc.limehouse.co.uk/file/4808576,WGS84,-0.355611628,53.74257625,0.24,owned by a public authority,yes,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,12,"""Proposed for housing within Thornton Neighbourhood Plan - New build 12 dwellings.""",,,12,12,,,,2017-12-20,2017-12-20,OSGB36,508549.1104,428609.8563
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR1004,,"""Land at Former New York Hotel, Anlaby Road""",http://hullcc.limehouse.co.uk/file/4808583,WGS84,-0.347378446,53.74278174,0.17,not owned by a public authority,,Not Permissioned,,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,24,"""Proposed for housing within Thornton Neighbourhood Plan -24 Flats""",,,24,24,,,,2017-12-20,2017-12-20,OSGB36,509091.5328,428645.315
http://opendatacommunities.org/id/unitary-authority/hull,"""Kingston upon Hull, City of""",BLR1010,,"""Goodwin Resource Centre, Icehouse Road""",http://hullcc.limehouse.co.uk/file/4808578,WGS84,-0.349437836,53.74142173,0.46,not owned by a public authority,yes,Permissioned,full planning permission,2017-11-13,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,,40,"""16/01794/FULL Construction of 40 dwellings comprised of 10no. family houses; 8no. Townhouses; 10no. 1 bed flats; 5no. 2 bed flats; and 7 duplex units.""",,,40,40,,,,2017-12-20,2017-12-20,OSGB36,508959.2377,428490.863
