OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeForm,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReferences,Easting,Northing
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR52,,"Little Wonder Hotel, Ripon Road, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR52,ETRS89,-1.550486,54.007072,0.1,Not owned by a public authority,Yes,Permissioned,Full planning permission,26/06/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NJ52W7HY0B100,,14,Erection of 14 units,,,,,,,,04/10/2017,04/10/2017,15/00429,429558.9,456876.72
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR53,,"Back Dragon Parade, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR53,ETRS89,-1.535084,53.99631,0.09,Not owned by a public authority,Yes,Permissioned,Full planning permission,23/12/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NRA57THYGS100,,14, Erection of 14 dwellings and demolition of existing commercial buildings ,,,,,,,,04/10/2017,04/10/2017,15/03116,430576.2,455685.87
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR54,,"Former Balmoral Hotel, 16-18 Franklin Mount, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR54,ETRS89,-1.539216,53.999705,0.14,Not owned by a public authority,Yes,Permissioned,Full planning permission,13/06/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3OIOFHYICU00,,14,Conversion of hotel to form 14 apartments,,,,,,,,04/10/2017,04/10/2017,16/00920,430302.84,456061.79
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR55,,"Unit 1 & 2 Hambleton Grove, Knaresborough",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR55,ETRS89,-1.462107,54.011688,1.01,Not owned by a public authority,Yes,Permissioned,Outline planning permission,14/02/2017,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OE9X7BHYJUP00,,30,Demolition of existing structures and erection of 14 dwellings,,,,,,,Only part of site has planning permission for 14 dwellings,04/10/2017,04/10/2017,K6|16/04215,435347.28,457430.71
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR56,,"Finkle Street and Allhallowgate, 6-9 Finkle Street, 4-14A & 15-23 Allhallowgate, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR56,ETRS89,-1.521985,54.137869,0.3,Owned by a public authority,Yes,Permissioned,Full planning permission,,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NR8AKGHYGRM00,,17,"Demolition of 4 - 14A Allhallowgate and erection of 9 replacement dwellings with associated car parking, demolition of 6 - 9 Finkle Street and erection of 8 replacement flats",,,,,,,Landowner - Harrogate Borough Council,04/10/2017,04/10/2017,15/03080,431328.58,471442.01
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR57,,"Glasshouses Mill, Glasshouses",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR57,ETRS89,-1.743069,54.075613,7.18,Not owned by a public authority,Yes,Permissioned,Full planning permission,23/09/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JQ1P1PHY05P00,,40,"Conversion of principal mill building to form 15 including reconstruction of former wheel house, conversion of former mechanics shop, store and pugmill to 4 dwellings, conversion of former jute and hemp warehouse to form 5 dwellings, erection of 4 terraced dwellings and 1 detached dwelling","Conversion of part of principal mill to restaurant (use class A3), 7 office units (use class B1).",,,,,,,04/10/2017,04/10/2017,07/05275,416909.31,464440.05
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR58,,"1 Avenue Road, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR58,ETRS89,-1.501457,53.997511,0.03,Not owned by a public authority,Yes,Permissioned,Full planning permission,09/12/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NVYP36HYHEN00,,6,"Redevelopment of buildings to form 6 dwellings involving demolition of stores, erection of second storey extensions and alterations to roof structure and fenestration",,,,,,,,04/10/2017,04/10/2017,15/04576,432779.7,455834.45
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR59,,"108 Station Parade, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR59,ETRS89,-1.536676,53.988869,0.12,Not owned by a public authority,Yes,Permissioned,Full planning permission,13/04/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZRS1EHYHWY00,,6,"Demolition of ""Lambert House"", erection of 6 dwellings",,,,,,,,04/10/2017,04/10/2017,15/05656,430477.2,454857.32
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR60,,"3 Devonshire Place, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR60,ETRS89,-1.529558,53.998269,0.04,Not owned by a public authority,Yes,Permissioned,Full planning permission,30/03/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NGSFXFHYFGK00,,5,Change of use from retail/office to form 5 dwelling flats,,,,,,,,04/10/2017,04/10/2017,14/05270,430937.01,455906.17
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR61,,"4 South Park Road, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR61,ETRS89,-1.535347,53.990199,0.15,Not owned by a public authority,Yes,Permissioned,Full planning permission,10/12/2014,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N6EAINHY64000,,11,"Conversion of offices and residential apartments to form 6 self-contained apartments, erection of extension to form 5 self contained apartments",,,,,,,,04/10/2017,04/10/2017,14/02179,430563.39,455005.8
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR62,,"80 North Street , Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR62,ETRS89,-1.524283,54.137819,0.06,Not owned by a public authority,Yes,Permissioned,Full planning permission,31/05/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NOCL8THYGEB00,,5,"Part conversion of existing restaurant, office and store to form 5 apartments",,,,,,,,04/10/2017,04/10/2017,15/02124,431178.46,471435.4
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR63,,"High Mill, Shaw Mills, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR63,ETRS89,-1.615532,54.059498,0.22,Not owned by a public authority,Yes,Permissioned,Full planning permission,25/05/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NFDZMTHY08R00,,7,"Conversion of mill to form 3 dwellings, conversion of 2 tannery buildings to form 2 dwellings, erection of 2 dwellings",,,,,,,,04/10/2017,04/10/2017,14/04872,425264.08,462684.77
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR64,,"Freeman House, 34 Cold Bath Road, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR64,ETRS89,-1.548637,53.990379,0.11,Not owned by a public authority,Yes,Permissioned,Full planning permission,11/07/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5ZAWXHY09W00,,7,Erection of 7 dwellings ,,,,,,,,04/10/2017,04/10/2017,16/01608,429691.91,455020.23
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR65,,"High Harrogate Working Mens Club, 5 Devonshire Place, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR65,ETRS89,-1.529355,53.998122,0.07,Not owned by a public authority,Yes,Permissioned,Full planning permission,30/09/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OA8US2HY09W00,,6,Conversion of first and second floors to form 6 apartments,,,,,,,,04/10/2017,04/10/2017,16/02937,430950.39,455889.94
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR66,,"Jewson Limited, 27 Bondgate Green, Ripon",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR66,ETRS89,-1.519503,54.133332,0.15,Not owned by a public authority,Yes,Permissioned,Full planning permission,29/02/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NDHUIRHY64000,,9,"Demolition of existing buildings and erection of 7 dwellings, 2 apartments",Conversion of building to from office/retail unit (75m²),,,,,,,04/10/2017,04/10/2017,14/04219,431494.16,470938.29
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR67,,"Lucky Numbers Bingo Club, 85 Skipton Road, Harrogate",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR67,ETRS89,-1.535358,54.002709,0.05,Not owned by a public authority,Yes,Permissioned,Full planning permission,10/02/2016,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NVSJCSHY0B100,,5,Erection of 5 dwellings with associated parking and demolition of existing bingo hall,,,,,,,,04/10/2017,04/10/2017,15/04501,430553.54,456397.73
http://opendatacommunities.org/id/district-council/harrogate,Harrogate Borough Council,BR68,,"Site of Former Drovers Pub, Bishop Thornton",http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR68,ETRS89,-1.591476,54.069734,0.7,Not owned by a public authority,Yes,Permissioned,Full planning permission,01/09/2015,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHRG98HY08Q00,,8,Erection of 8 dwellings,,,,,,,,04/10/2017,04/10/2017,15/00040,426832.15,463832.49
