OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,EASTING,NORTHING,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3,PlanningAuthority,SOURCE,STATUS
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0026/15,,"""High St, Marlborough House, 159, Wealdstone""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.337784,51.598812,515233.00,190196.00,0.16,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-02-12,,,25,Conversion of offices (Class B1a) to 25 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2418/12,,"""High St, 19, Sam Maguires PH, Wealdstone""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.335853,51.593716,515392.00,189638.00,0.16,Not in public ownership,Yes,permissioned,full planning permission,2015-02-23,,,27,"Demolition of existing public house (Use Class A4) and redevelopment to provide part 3, part 4, part 5 storey building comprising 27 flats and ground floor retail space (Use Class A1), 17 car parking spaces, cycle parking and landscaping.",Class A1 198 sq mtrs,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0604/15,,"""Station Road, 324-6, Trinity House, 2nd floor, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.333462,51.580766,515558.00,188186.00,0.13,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-04-07,,,9,Conversion of 2nd floor offices of 324-326 Station Road (Class B1a) to 9 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0615/15,,"""Kymberley Road, Kings House, 2nd to 8th floors, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.338118,51.580593,515248.00,188165.00,0.11,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-04-09,,,262,Conversion of offices (Class B1a) to 262 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4655/14,,"""St Anns Road, Natwest House, 1 - 9, 1st & 2nd floors, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.334367,51.581163,515510.00,188235.00,0.06,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-01-20,,,6,Conversion of first and second floor offices (Class B1a) to six self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2957/16,,"""Chichester Court, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.292566,51.595593,518360.00,189905.00,0.77,Public Ownership,Yes,permissioned,full planning permission,2016-10-03,,,26,Construction of two & three storey buildings to provide 20 additional dwellinghouses & 6 flats; amendments to parking layout and access; landscaping; refuse & cycle storage,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3749/16,,"""Imperial Drive, Talbot House, 204 - 226, Ground & First floor, Rayners Lane""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.370014,51.576676,513050.00,187676.00,0.18,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-09-27,,,37,Conversion of offices (Class B1a) on ground and first floors to 37 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3748/16,,"""Imperial Drive, Talbot House, 204 - 226, Lower Ground floor, Rayners Lane""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.370014,51.576674,513050.00,187676.00,0.19,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-09-27,,,19,Conversion of offices (Class B1a) on lower ground floor to 19 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3260/16,,"""Gayton Road, 59, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.325794,51.58096,516099.00,188222.00,0.04,Not in public ownership,Yes,permissioned,full planning permission,2016-10-07,,,4,Conversion of dwellinghouse to five flats; single and two storey rear extension; rear dormer; separate and communal amenity space; parking and bin storage; external alterations,,,,,,,"Capable of supporting 5 units, but net gain is 4",,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3896/16,,"""Honeypot Lane, 304, Haslem House, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.292168,51.595113,518386.00,189864.00,0.17,Public Ownership,Yes,permissioned,full planning permission,2016-10-03,,,9,"Redevelopment to provide two blocks of  two storey terraced dwellings , one pair of semi-detached dwellings (9 in total); parking; landscaping; refuse and cycle storage: alterations to existing vehicle access",,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4809/16,,"""Imperial Drive, 175 - 205, Imperial House, Rayners Lane""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.369357,51.576256,513101.00,187629.00,0.60,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-11-22,,,203,Conversion of offices (Class B1a) to 203 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2516/16,,"""Harrow View, land rear of 209, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.344877,51.592024,514690.00,189437.00,0.23,Not in public ownership,Yes,permissioned,full planning permission,2016-11-18,,,7,Redevelopment to provide seven two storey dwellings with habitable roofspace parking bin/cycle storage and landscaping,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5140/16,,"""Church Road, 15-19, Stanmore House, 1st & 2nd floors, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.312272,51.617589,516939.00,192316.00,0.04,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-12-19,,,8,Conversion of first and second floor offices (Class B1a) to 8 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5189/16,,"""Whittington Way, 74, Whittington Garage,  Pinner",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.380558,51.585161,512297.00,188611.00,0.07,Not in public ownership,Yes,permissioned,full planning permission,2017-02-16,,,9,Redevelopment to provide a three storey building accommodating nine flats; amenity space; parking; cycle and bin stores,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1484/16,,"""Greenhill Way, Public Conveniences, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.333959,51.581802,515529.00,188308.00,0.03,Not in public ownership,Yes,permissioned,full planning permission,2017-02-27,,,8,"Redevelopment: Four storey building with retail use on ground floor (Use Class A1) and eight flats (Use Class C3) on first, second and third floors; bin/cycle store",Class A1 90 sq mtrs,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0326/17,,"""West Street, 87, The Powerhouse, Harrow On The Hill",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.341323,51.572842,515061.00,187304.00,0.18,Not in public ownership,Yes,permissioned,planning permission granted under an order,2017-03-06,,,14,Conversion of offices (Class B1a) to 14 self-contained flats (Class C3) on ground and first floors of main building and cottage (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4418/16,,"""Station Road, 12-14, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.332425,51.589738,515615.00,189190.00,0.08,Not in public ownership,Yes,permissioned,full planning permission,2017-04-19,,,9,Creation of additional two floors to provide 5 flats on third and fourth floors (Class C3) (9 flats in total); ground floor rear extension and continued use of ground and first floors as educational/healthcare (Use Class D1); change of use of second floor from use Class D1 to four flats; External alterations including balconies on 2nd floor level; bin and cycle storage; landscaping and parking,Class D1 771 sq mtrs,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0133/17,,"""High Street, 29-45, Middlesex House, Floors 1 - 7, Edgware""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.278319,51.609133,519320.00,191440.00,0.30,Not in public ownership,Yes,permissioned,planning permission granted under an order,2017-04-25,,,71,Conversion of offices (Class B1a) on first to seventh floors to 71 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5994/16,,"""Garages r/o 249-255 Pinner Road, West Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.353499,51.582275,514178.00,188329.00,0.03,Not in public ownership,Yes,permissioned,full planning permission,2017-04-27,,,6,Redevelopment to provide two storey building comprising six flats; bin and cycle storage,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1470/17/PRIOR,,"""Stanmore Hill, 8, Burnell House, 1st & 2nd floors, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.311664,51.618453,516985.00,192417.00,0.30,Not in public ownership,Yes,permissioned,planning permission granted under an order,2017-07-07,,,39,Conversion of first and second floor offices (Class B1a) and roof void to 39 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0120/17,,"""Canning Road, 1, Premier House, Wealdstone""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.33463,51.594291,515447.00,189707.00,0.24,Not in public ownership,Yes,permissioned,full planning permission,2017-07-31,,,9,Creation of a new fifth floor to accommodate nine additional flats with associated  external alterations,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5592/16,,"""Northolt Road, 505, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.36163,51.557385,513678.00,185553.00,0.03,Not in public ownership,Yes,permissioned,full planning permission,2017-06-23,,,6,Redevelopment to create a single and four storey building with retail unit at ground floor and six flats on upper floors; bin and cycle storage,Class A1 174 sq mtrs,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1320/16,,"""Merrion Avenue, Jubilee House & 39-45 (Odd), Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.303369,51.618927,517563.00,192480.00,0.68,Not in public ownership,Yes,permissioned,full planning permission,2017-07-03,,,167,"Demolition of existing office building and four semi detached houses and comprehensive redevelopment of the site to provide a mixed use development of 101 residential assisted/independent living units (Class C2) within a building of five to seven storeys and 70 residential units (Class C3) within a building of three to six storeys; with associated landscaping, basement and surface level parking; new vehicle access from Merrion Avenue",,,,,,,"All self-contained units, so all regarded as C3 dwellings",,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3644/16,,"""Headstone Road, 8, Kelly House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.340677,51.580447,515076.00,188146.00,0.02,Not in public ownership,Yes,permissioned,full planning permission,2017-08-07,,,6,Construction of additional three storeys to create six flats with parking and bin/cycle storage; external alterations,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1175/17,,"""Corbins Lane, 42, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.359062,51.5636,513826.00,186240.00,0.06,Not in public ownership,Yes,permissioned,full planning permission,2017-06-23,,,4,Redevelopment to provide two storey building with habitable roofspace comprising 5 flats; landscaping; parking; bin/cycle store; new vehicle access,,,,,,,"Capable of supporting 5 units, but net gain is 4",,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1727/17/PRIOR,,"""Canning Road, Premier House, Part 3rd & 4th floor, Wealdstone""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.33463,51.594291,515447.00,189707.00,0.24,Not in public ownership,Yes,permissioned,planning permission granted under an order,2017-06-01,,,45,Conversion of offices (Class B1a) on third Floor (part) and fourth floor to 45 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5545/15,,"""Greenhill Way, North Side Car Park, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.334059,51.583617,515530.00,188503.00,0.19,Not in public ownership,Yes,permissioned,full planning permission,2017-06-07,,,42,"Redevelopment to provide a part three, four and five storey building to create 42 flats with associated parking and landscaping; Alterations to existing vehicle access; Bin and cycle storage",,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2764/14,,"""Sudbury Hill, 1 to 5, Harrow on the Hill""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.331415,51.56222,515772.00,186096.00,0.64,Not in public ownership,Yes,permissioned,full planning permission,2015-07-24,,,63,Demolition of five detached houses and erection of 68 apartments comprising of 14 x 1 bed flats 50 x 2 bed flats and 4 x 3 bed flats; access parking and landscaping,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3388/15,,"""Church Road, land rear of 56 to 58, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.3132,51.61638,516882.00,192187.00,0.07,Not in public ownership,Yes,permissioned,full planning permission,2015-09-09,,,6,"Redevelopment: Single storey building with accommodation in roof to provide six flats; parking, bin/cycle storage, landscaping and amenity space",,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3723/15,,"""College Road, 104, Vyman House, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.339327,51.580321,515167.00,188124.00,0.05,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-09-29,,,15,Conversion of offices (Class B1a) to 15 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2163/15,,"""Northolt Road, Townsend House & Eaton House, South Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.351554,51.566193,514343.00,186519.00,0.28,Not in public ownership,Yes,permissioned,full planning permission,2016-07-06,,,116,"Demolition of existing buildings (use classes D1/ B1) and redevelopment of the site to provide 116 residential flats (use class C3) including affordable housing within a building ranging from 6 to 9 storeys in height with refuse stores, vehicle and cycle parking spaces at lower ground level; raised podium amenity area; associated landscaping, access ramps, boundary treatment and new electronic entrance gates at rear; new vehicle crossover with access drive from Sherwood Road (reinstatement of existing vehicle access points); associated mechanical and ventilation plant including photovoltaic panels; relocation of existing electric sub-station",,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2905/16,,"""Northolt Road, 190-194, 1st to 3rd floors, South Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.352229,51.565499,514311.00,186470.00,0.03,,,permissioned,planning permission granted under an order,2016-08-10,,,48,"Conversion of first, second and third floor offices (Class B1A) to 48 self-contained flats (Class C3) (PRIOR APPROVAL)",,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3046/16,,"""Pynnacles Close, Compass House, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.313472,51.617366,516863.00,192288.00,0.09,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-08-15,,,16,Conversion of offices (Class B1a) to 16 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0586/15,,"""St Johns Road, 1 - 3, Cumberland Hotel, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.331527,51.581928,515664.00,188318.00,0.38,Not in public ownership,Yes,permissioned,full planning permission,2015-10-06,,,121,"Demolition of existing hotel buildings (Use Class C1) and phased redevelopment of the site to provide 121 residential flats (Use Class C3) including affordable housing within two blocks with basement and ranging from five to nine storeys in height; a pedestrian link between sheepcote road and St John's Road with associated landscaping, raised planters, boundary treatment, entrance gates; new vehicle crossover with access drive on Sheepcote Road (reinstatement of existing vehicle access points), associated mechanical and ventilation plant, refuse stores, bicycle and car parking spaces; PV panels",Classes A1 to A4 & B1a 87 sq mtrs in total,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4164/15,,"""College Road, 102, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.339171,51.580333,515175.00,188125.00,0.03,Not in public ownership,Yes,permissioned,planning permission granted under an order,2015-10-29,,,25,Conversion of offices (Class B1a) to 25 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5562/15,,"""Rosslyn Crescent, 50, Miller House, 1st floor, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.329166,51.587724,515858.00,188964.00,0.14,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-01-21,,,8,Conversion of offices (Class B1a) to 8 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0449/16,,"""High Road, 365, Rear of ground floor, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.340243,51.604265,515053.00,190794.00,0.04,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-03-18,,,5,Conversion of former bank (Class A2) to 5 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2165/15,,"""Harrow View, Kodak East, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.345791,51.595107,514815.00,189612.00,16.09,Not in public ownership,Yes,permissioned,outline planning permission,2015-12-09,,,1800,"O/L permission for a comprehensive, phased mixed use devt. Includes up to 1,800 units, A1-A5, B1a-B1c, B2, B8, C2, D1, D2, sui generis uses and open space","Classes A1 to A5 3255 sq mtrs, Class B1 18715 sq mtrs, Class B2 6148 sq mtrs, Class B8 6148 sq mtrs, Class C2 9749 sq mtrs, Class D1 8876 sq mtrs, Class D2 238 sq mtrs & sui generis 9329 sq mtrs.",,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5080/15,,"""Honeypot Lane, 506-508, Woodfield House, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.296577,51.602265,518073.00,190636.00,0.28,Not in public ownership,Yes,permissioned,full planning permission,2016-02-23,,,8,Two storey side extension at first and second floor level; creation of third floor level to provide eight flats with parking and bin/cycle storage,,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1092/16,,"""College Road, 118-134 & Headstone Road, 5-9, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.339975,51.580281,515136.00,188116.00,0.16,Not in public ownership,Yes,permissioned,planning permission granted under an order,2016-04-14,,,70,Conversion of offices (Class B1a) to 70 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/5789/15,,"""Stuart Avenue, garages Adjacent 7, Harrow""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.374564,51.563267,512762.00,186181.00,0.15,Public Ownership,Yes,permissioned,full planning permission,2016-04-14,,,6,"Redevelopment to provide six no. 2-storey terraced dwellings with solar panels; amenity space, parking, landscaping and bin/cycle storage (demolition of garages)",,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3191/12,,"""Brockley Hill, Royal National Orthopaedic Hospital, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.309069,51.631321,517020.00,194017.00,26.55,Public Ownership,Yes,permissioned,outline planning permission,2013-08-05,,,347,"Outline: New hospital, multi-storey car park, surface car parking, public open space and 356 residential units",Class C2 41619 sq mtrs and sui generis 21000 sq mtrs,,,,,,"Three separate reserved matters applications have subsequently been approved for the main hospital building, the Biomedical Engineering Hub and the Princess Eugenie House. ",,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2542/14,,"""Canning Road, Premier House, Second Floor, Wealdstone""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.33463,51.594291,515447.00,189707.00,0.24,Not in public ownership,Yes,permissioned,planning permission granted under an order,2014-08-22,,,9,Conversion of second floor offices(Class B1a)to 9 self-contained flats (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/0412/14,,"""Coverdale Close, Anmer Lodge & Stanmore car park, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.310235,51.618617,517066.00,192466.00,0.99,Not in public ownership,Yes,permissioned,full planning permission,2014-08-22,,,120,"Redevelopment of Anmer Lodge & Stanmore Car Park site in four blocks of various heights: Block A to provide 1,692 sq. m (gross) food retail store (Class A1) with ancillary café and 3-5 storeys of flats over; Block B to provide multi storey car park and 3-4 storeys of flats over; Block C to comprise 3-6 storeys of flats with undercroft parking; Block D to comprise 2-4 storeys of houses and flats with surface car parking. Basement car park below Blocks A & B. Total 120 dwellings (Class C3) (resident permit restricted); 294 car parking spaces (comprising 151 replacement spaces, 50 spaces for the food store and 93 spaces for residents), 8 motorcycle spaces and 144 cycle spaces. Access from Dennis Lane and Coverdale Close. Proposal also includes combined heat & power plant; landscaping & roof gardens; diversion of water culvert; works to provide temporary replacement town centre car park (minimum of 151 spaces) and demolition of Anmer Lodge.",Class A1 1692 sq mtrs & sui generis 3224 sq mtrs,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/2443/14,,"""Church Road, 43, Crazy Horse PH, Stanmore""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.313574,51.617131,516859.00,192259.00,0.12,Not in public ownership,Yes,permissioned,full planning permission,2014-10-13,,,12,Redevelopment of the site: Demolition of existing public house; construction of part three/part four storey building to provide 13 flats and commercial floorspace (Flexible Class A1/A2) on the ground floor and part of first floor; basement parking; PV panels on the roof; new boundary treatment and gates; associated landscaping.,Classes A1/A2 356 sq mtrs,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3859/14,,"""Station Approach, 36, Wealdstone""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.332486,51.590104,515612.00,189235.00,0.04,Not in public ownership,Yes,permissioned,planning permission granted under an order,2014-11-24,,,8,Conversion of offices (Class B1a) to 8 self-contained flats (Class C3) (PRIOR APPROVAL),,,,,,,,,,,,,Harrow,LDD,SUBMITTED
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3468/17,,"""Vaughan Road, car park""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.342696,51.579505,514935.00,188038.00,0.13,Public Ownership,Yes,permissioned,full planning permission,2017-09-28,,,33,Redevelopment of car park to provide a four to eight storey building comprising 242sqm of workshop/commercial/community (Class A2/A3/B1/D1) space on the ground floor and 33 residential apartments (Class C3) on the upper floors; amenity areas; landscaping with associated surface parking; bin and cycle storage; substation; re-location of vehicle access on Vaughan Road; and alterations to adjacent highway.,Class A2/A3/B1/D1 242 sq mtrs,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/4602/15,,"""Rayners Lane, Tithe Farm Social Club""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.36514,51.570225,513403.00,186971.00,1.75,Not in public ownership,Yes,pending decision,,,,,30,"Redevelopment for 30 dwellings with access, parking, landscaping and bin storage; sports and social club house; construction of an artificial turf pitch and multi use games area (MUGA)",Class D2 1255 sq mtrs,,,,,,Granted 19/7/17 subject to legal agreement,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/1466/16,,"""St Anns Road, 1-9, floors 4&5""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.334367,51.581163,515510.00,188235.00,0.06,Not in public ownership,Yes,pending decision,,,,,8,Addition of fourth and fifth floors to provide eight flats; external alterations to third floor; extension to refuse store,,,,,,,Granted 29/6/17 subject to legal agreement,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,P/3524/16,,"""Grange Farm Estate""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.351034367,51.56924535,514383.00,186884.00,4.10,Public Ownership,Yes,not permissioned,,,,,267,Building a Better Harrow Regeneration site: The South Harrow estate was built in 1968 and is one of the last remaining examples of a construction type that uses fibreglass panels for external walls. The regeneration project will see 225 failing flats together with 47 other flats and bungalows replaced with around 545 mixed tenure homes.,,,,,,,Application received,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,Site Allocations R1,,"""Alexandra Avenue, 465-473, adjacent Rayners Lane Station""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.370540027,51.5745714,513018.00,187446.00,0.11,Not in public ownership,Yes,not permissioned,,,,,15,Allocated site suitable for replacement/ increased retail floorspace at ground floor/basement level with residential above,Classes A1-A5,,,,,,"The design and layout of any proposals must be sensitive to the heritage of Rayners Lane, in particular the neighbouring listed station building which should remain the prominent visual feature in the approach from Imperial Drive and Alexandra Avenue",,,,,,,,
http://opendatacommunities.org/id/london-borough-council/harrow,Harrow Council,Site Allocations H2,,"""Northolt Road, 205-209""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.351778223,51.56543411,514341.00,186459.00,0.03,Unknown,Yes,not permissioned,,,,,7,An allocated (and now vacant) site suitable for residential use,,,,,,,,,,,,,,,
