OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00035,,"2 & 2A The Avenue, Wembley, HA9 9QJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.293743624,51.57334129,0.07,unknown ownership,,permissioned,full planning permission,20/12/2011,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_88651|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_104867,,5,"Extension of time limit to application reference 07/0421 for demolition of existing two-storey house and erection of a part two-storey, part four-storey block of flats, comprising 4 two-bedroom and 2 three-bedroom flats, with provision of 7 off-street car-parking spaces, refuse storage and external amenity space, subject to a Deed of Agreement dated 17/07/2008 under Section 106 of the Town and Country Planning Act 1990 (as amended) and as amended by Deed of Variation dated 12 December 2011",,,5,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00036,,"74 & 74 A-C inc,High Street, London, NW10 4SJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.246623094,51.53567118,0.02,unknown ownership,,permissioned,full planning permission,26/10/2012,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202086086_1&activeTab=summary&previousCaseUprn=202086086&previousCaseNumber=PROPLPI_202086086_1&keyVal=DCAPR_104813|https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202086086_1&activeTab=summary&previousCaseUprn=202086086&previousCaseNumber=PROPLPI_202086086_1&keyVal=DCAPR_107611,,5,"Change of use from recording studio (class B1) to residential (class C3) and erection of second and third floor rear extension and addition of rear balconies, creating 4 one-bed and 2 studio units and subject to a Deed of Agreement dated 25/09/2012 under Section 106 of the Town and Country Planning Act 1990, as amended",,,5,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00037,,"Kelaty House, First Way, Wembley, HA9 0JD",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.27424552,51.55872052,1.04,not owned by a public authority,,permissioned,full planning permission,30/10/2012,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202097605_1,,5,"Full planning permission is sought for the redevelopment of the site comprising the erection of 5 buildings ranging in height from 4 to 13 storeys for a mix of uses including hotel/serviced apartments (Use Class C1), student accommodation (sui-generis use) and flexible business/retail/community/leisure uses (Use Classes B1/A1/A2/A3/A4/D1/D2), and ancillary development including basement car park and hard and soft landscaping providing both public and private amenity space and subject to a Deed of Agreement dated 18/10/2012 under Section 106 of the Town and Country Planning Act 1990, as amended","10882 sq m C1, 613 Flexible A1/A2/A3/A4/D1/D2",,5,599,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00038,,"83 Hassop Road, London, NW2 6RX",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.219416869,51.55953427,0.01,unknown ownership,Yes,permissioned,full planning permission,28/03/2017,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202088488_1,,5,"Demolition of existing workshop and erection of five storey building comprising 7 flats (3 x 1 bed, 1 x 2 bed and 3 x studio flats)",,,5,7,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00039,,"2-22 London Road, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.295307175,51.55261976,0.21,unknown ownership,Yes,not permissioned,,,,,14,,,,14,14,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00040,,Land behind Mostyn Avenue,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.290500117,51.55481978,2.19,mixed ownership,,not permissioned,,,,,15,,,,15,15,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00041,,"Ark Elvin Academy, Cecil Avenue, Wembley, HA9 7DU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.288946965,51.55090393,8.36,owned by a public authority,Yes,permissioned,full planning permission,23/10/2015,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202025793_1,,193,"Demolition of existing buildings on site and erection of replacement building to accommodate a three storey 9FE secondary school for 1750 pupils (1350 11-16 year old and 400 post 16) with associated car parking, servicing and circulation space, Multi Use Games Area, All Weather Pitch, games areas and other hard and soft landscaping, together with the diversion of Public Right of Way (PROW) No.87",13315 D1 use,,193,370,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00043,,"York House, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.285252126,51.55635531,0.87,unknown ownership,,permissioned,full planning permission,23/12/2016,,,100,"Hybrid planning application, accompanied by an Environmental Impact Assessment, for the redevelopment of the site including;- Full planning permission for erection of a 10-storey car park to the east of the Stadium comprising 1,816 car parking spaces of which 1,642 are for non-residential purposes, up to 82 coach parking spaces and associated infrastructure, landscaping and vehicular access. And Outline application for the demolition of existing buildings on site and the provision of up to 420,000 sqm (gross external area) of new floorspace within a series of buildings comprising: Retail/financial and professional services/food and drink (Use Class A1 to A4) up to 21,000 sqm; Commercial (Use Class B1) up to 82,000 sqm; Hotel (Use Class C1): up to 25,000 sqm; Residential (Use Class C3): up to 350,000 sqm (up to 4,000 homes) plus up to 20,000 sqm of floorspace for internal plant, refuse, cycle stores, residential lobbies, circulation and other residential ancillary space; Education, healthcare and community facilities (Use Class D1): up to15,000 sqm; Assembly and leisure (Use Class D2): 23,000 sqm; Student accommodation (Sui Generis): Up to 90,000 sqm. And associated open space (including a new public park) and landscaping; car and coach parking (including up to 55,000 sqm of residential parking and 80,000 sqm non-residential parking) and cycle storage; pedestrian, cycle and vehicular accesses; associated highway works; and associated infrastructure including water attenuation tanks, an energy centre and the diversion of any utilities and services to accommodate the development. Subject to a Deed of Agreement dated 23 December 2016 under Section 106 of the Town and Country Planning Act 1990, as amended","Retail/financial and professional services/food and drink (Use Class A1 to A4) up to 21,000 sqm; Commercial (Use Class B1) up to 82,000 sqm; Hotel (Use Class C1): up to 25,000 sqm;  Education, healthcare and community facilities (Use Class D1): up to15,000 sqm; Assembly and leisure (Use Class D2): 23,000 sqm; 80,000 sqm non-residential parking",,100,100,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00044,,"Malcolm House, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.282600247,51.56068186,0.21,unknown ownership,,permissioned,full planning permission,28/03/2013,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_94965|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_110190,,62,"The use of the site for surface car parking for up to 1,350 cars for a temporary period of 5 years while land to the south of Engineers Way is redeveloped pursuant to planning permission 03/3200 and the making good of part of the site and other minor works following the demolition of the former Palace of Industry building. The application site is situated between Engineers Way, Olympic Way, Fulton Road and Empire Way but excludes the Quality Hotel, Dexion and Howarine House, the Civic Centre and Malcolm/Fulton House sites","car parking for up to 1,350 cars",,62,62,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00045,,"Stadium Retail Park, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.280706443,51.56136663,1.15,unknown ownership,Yes,permissioned,full planning permission,23/12/2016,,,680,"Hybrid planning application, accompanied by an Environmental Impact Assessment, for the redevelopment of the site including;- Full planning permission for erection of a 10-storey car park to the east of the Stadium comprising 1,816 car parking spaces of which 1,642 are for non-residential purposes, up to 82 coach parking spaces and associated infrastructure, landscaping and vehicular access. And Outline application for the demolition of existing buildings on site and the provision of up to 420,000 sqm (gross external area) of new floorspace within a series of buildings comprising: Retail/financial and professional services/food and drink (Use Class A1 to A4) up to 21,000 sqm; Commercial (Use Class B1) up to 82,000 sqm; Hotel (Use Class C1): up to 25,000 sqm; Residential (Use Class C3): up to 350,000 sqm (up to 4,000 homes) plus up to 20,000 sqm of floorspace for internal plant, refuse, cycle stores, residential lobbies, circulation and other residential ancillary space; Education, healthcare and community facilities (Use Class D1): up to15,000 sqm; Assembly and leisure (Use Class D2): 23,000 sqm; Student accommodation (Sui Generis): Up to 90,000 sqm. And associated open space (including a new public park) and landscaping; car and coach parking (including up to 55,000 sqm of residential parking and 80,000 sqm non-residential parking) and cycle storage; pedestrian, cycle and vehicular accesses; associated highway works; and associated infrastructure including water attenuation tanks, an energy centre and the diversion of any utilities and services to accommodate the development. Subject to a Deed of Agreement dated 23 December 2016 under Section 106 of the Town and Country Planning Act 1990, as amended","Retail/financial and professional services/food and drink (Use Class A1 to A4) up to 21,000 sqm; Commercial (Use Class B1) up to 82,000 sqm; Hotel (Use Class C1): up to 25,000 sqm;  Education, healthcare and community facilities (Use Class D1): up to15,000 sqm; Assembly and leisure (Use Class D2): 23,000 sqm; 80,000 sqm non-residential parking",,680,680,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00047,,"Wembley Stadium Car Park, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.277069614,51.55764693,4.47,unknown ownership,Yes,permissioned,,23/12/2016,,,1376,,,,1376,1376,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00048,,"The Torch/Kwik Fit Euro, 1-5 Bridge Road, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.277105689,51.56495861,0.38,unknown ownership,Yes,not permissioned,,,,,135,,,,135,135,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00049,,"Watkin Road, 1-22 Watkin Road plus site of Transporter House, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.275665836,51.56069081,1.45,unknown ownership,,not permissioned,,,,,400,,,,400,400,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00050,,"Euro Car Parts, Corner of Fulton Road and Fifth Way, HA9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.27352669,51.5596013,1.36,not owned by a public authority,Yes,permissioned,full planning permission,30/03/2006,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_61652|https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_84197,,885,Formation of vehicular crossover at Fourth Way to site (as amended by revised plan received on 13/03/2006),Formation of vehicular crossover,,885,885,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00051,,"Alperton House, Bridgewater Road, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.301534822,51.53971575,0.76,not owned by a public authority,,pending decision,full planning permission,,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202126816_1,,95,"Temporary consent for change of use of first, second, third, fourth and fifth floors of building to a mixed use as office (Use Class B1) and non-residential institution (Use Class D1 ? Education and Training Centres) for a temporary period of 2 years",mixed use as office (Use Class B1) and non-residential institution (Use Class D1 Education and Training Centres),,95,120,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00052,,"Sunleigh Road, Off Mount Pleasant, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.293956554,51.539164,1.9,not owned by a public authority,Yes,not permissioned,,,,,395,,,,395,395,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00053,,"Woodside Avenue, Off Mount Pleasant, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.292098497,51.54034986,2.7,not owned by a public authority,Yes,not permissioned,,,,,517,,,,517,517,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00054,,"Beresford Avenue, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.289355908,51.54063437,1.64,mixed ownership,Yes,not permissioned,,,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202130226_1&activeTab=summary&previousCaseUprn=202130226&previousCaseNumber=PROPLPI_202130226_1&keyVal=DCAPR_126288,,71,"Outline application for demolition of existing warehouse and 3 storey offices and erection of one six storey and one three storey building comprising 71 residential units (24 x 1bed, 27 x 2bed and 20 x 3bed) and children's nursery, with associated basement level for car and cycle parking spaces, bin stores, landscaping, amenity space and fencing",children's nursery D1,,71,100,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00055,,"Homebase, Church End High Road, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.249133748,51.55108819,0.82,not owned by a public authority,,not permissioned,,,,,106,,,,106,106,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00056,,"Chancel House, Neasden Lane, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.246694441,51.55038979,1.95,owned by a public authority,Yes,permissioned,planning permission granted under an order,15/08/2016,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_128748,,119,Prior approval for change of use of Chancel House (use class B1(a)) to 135 residential units (use class C3),,,119,135,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00057,,"Asiatic Carpets, Church End High Road, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.250491833,51.55912961,0.25,not owned by a public authority,Yes,not permissioned,,,,,223,,,,223,223,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00058,,"Neasden Lane / Birse Crescent, Neasden, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.252866884,51.56000395,0.1,mixed ownership,,not permissioned,,,,,64,,,,64,64,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00059,,"Neasden Lane / North Circular Road, Neasden, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.245414463,51.53698214,0.21,mixed ownership,,not permissioned,,,,,9,,,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00060,,"Manor Park Works, Manor Park Road, Harlesden, NW10 4JJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.314706657,51.58088728,2.25,unknown ownership,,not permissioned,,,,,30,,,,30,30,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00061,,"Sainsbury's Superstore, Draycott Avenue, HA3",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.300449024,51.58638661,0.47,unknown ownership,,not permissioned,,,,,450,,,,450,450,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00062,,"Clock Cottage, Kenton Road, HA3",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.284887528,51.59239263,3.69,owned by a public authority,Yes,permissioned,full planning permission,18/01/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202079880_1&activeTab=summary&previousCaseUprn=202079880&previousCaseNumber=PROPLPI_202079880_1&keyVal=DCAPR_129421,,19,"Redevelopment of Clock Cottage and its grounds to include the retention and reuse of Clock Cottage, demolition of the single storey stable buildings and erection of two storey buildings to provide 17 self-contained units (16 x 1 bed and 1 x 3bed) to be used as assisted living accommodation for adults with disabilities with associated staff and communal areas, car and cycle parking spaces, bin stores, amenity space and landscaping",,,19,19,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00063,,"Morrison’s supermarket, Honeypot Lane, NW9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.271718895,51.54328103,2.99,unknown ownership,,not permissioned,,,,,383,,,,383,383,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00064,,"Former Unisys & Bridge Park Centre, North Circular Road, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.238899184,51.5493658,0.16,mixed ownership,Yes,permissioned,full planning permission,13/10/2014,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202127580_1,,505,Retrospective application for temporary change of use of car park to operate a Sunday Market with approximately 100 stalls and ancillary van parking for an initial period of 12 months,change of use of car park to operate a Sunday Market,,505,505,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00065,,"Former Dudden Hill Lane Playground, Willesden, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.238899184,51.5493658,0.16,owned by a public authority,Yes,not permissioned,,,,,25,,,,25,25,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00067,,"Former Atlantic Electronics, 295 High Road, NW10 2JY",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.23838689,51.54839579,0.03,unknown ownership,Yes,permissioned,full planning permission,08/06/2015,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_108416,,9,Demolition of derelict building and the construction of a four storey building comprising 9 residential units on the upper three floors with a commercial unit on the ground floor,commercial unit on the ground floor,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00068,,"486 High Road, HA9 7BH",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.295140569,51.55342322,0.05,unknown ownership,Yes,permissioned,full planning permission,16/12/2015,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_108688,,9,"Roof alterations to existing building including erection of a pitched roof, front dormer window and two rear dormer windows, refurbishment of two existing 2 bedroom units facing Wembley High Road and erection of new 5 storey residential block (including basement) to the rear of 486 High Road (facing onto Dukes Way) providing 5 new flats, incorporating a new loading/servicing bay, communal central courtyard, private balconies and associated refuse, recycling and cycle storage (car/permit free development) (as amended by revised plans dated 28/01/13)  and subject to a Deed of Agreement dated 3 December 2015 under Section 106 of the Town and Country Planning Act 1990, as amended",,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00069,,"1-90 Inc, Barons Court, Church Lane, NW9 8AD",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.262233168,51.57948336,1.27,unknown ownership,Yes,permissioned,full planning permission,10/07/2015,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202131522_1&activeTab=summary&previousCaseUprn=202131522&previousCaseNumber=PROPLPI_202131522_1&keyVal=DCAPR_112899,,26,"Erection of 1 additional floor to each of the existing three storey residential blocks at 1-90 Barons Court to create 26 additional residential units (10 x one-bed, 8 x two-bed, 8 x three-bed), 34 additional car parking spaces and associated landscaping subject to a Deed of Agreement dated 8 July 2015 under Section 106 of the Town and Country Planning Act 1990, as amended",,,26,26,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00070,,"52A & 54A High Road, London, NW10 2PU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.228226196,51.54743475,0.03,not owned by a public authority,Yes,permissioned,full planning permission,24/02/2017,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202205072_1&activeTab=summary&previousCaseUprn=202205072&previousCaseNumber=PROPLPI_202205072_1&keyVal=DCAPR_116470,,5,"Rear dormer windows, 4 front rooflights and conversion of the upper floors at 52A & 54A into 5 self-contained flats (1 x 3 bed, 2 x 2bed, 1 x 1bed and 1 x studio) with provision for cycle parking and bin stores to the rear  and subject to a Deed of Agreement dated 23 February 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00071,,"33-35 High Street, NW10 4NE",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.24762129,51.53644014,0.04,unknown ownership,Yes,permissioned,full planning permission,15/04/2015,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202086139_1,,7,"Conversion of 9 unauthorised flats into 7 self-contained flats (5x studio, 1x 1 bed, 1x 2bed) with external alterations including rear dormer window, replacement timber glazed sash windows to front elevation.",,,7,7,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00072,,"Storage Land Opposite Linden Avenue, Station Terrace, NW10 5RR",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.220679823,51.53420248,0.04,unknown ownership,Yes,permissioned,full planning permission,04/03/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202043033_1,,9,"Redevelopment of the storage land opposite Linden Avenue to include the demolition and removal of existing buildings and structures and the erection of four storey building comprising 9 no. self-contained flats (7 x 2 bed and 2 x 3 bed) (Use Class C3), 5 no. retail units (Use Class A1) and 1 no. office unit (Use Class B1) on the ground floor with associated loading bay subject to a legal agreement pursuant to S106 of the Town and Country Planning Act 1990 (as amended) dated 2 March 2016",,,9,9,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00073,,"114 Elms Lane, HA0 2NP",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.322105746,51.56282395,0.13,unknown ownership,Yes,permissioned,full planning permission,07/07/2015,https://pa.brent.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=DCAPR_117855&activeTab=summary&previousCaseNumber=14%2F3127&keyVal=PROPLPI_202100916_1,,6,"Proposed conversion of 114 Elms Lane into 4 self-contained flats (1 x 3-bed, 2 x 2-bed and 1 x 1-bed), including a lower ground floor basement and alterations to the rear elevation consisting of the installation of new windows and doors, erection of 2-storey side extension and installation of x6 rooflights, demolition of existing lean-to conservatory extension, and the erection on the garden and parking area to the side of 114 Elms Lane of two detached 3-bedroom dwellinghouses, formation of a new vehicle crossover onto Elms Lane, off-street parking for 8 cars, secure cycle parking, refuse and recycling bin storage, private and communal amenity space and associated hard and soft landscaping works to the site frontage (as amended)
N.B. This is a revised description.",,,6,6,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00074,,"81 Cricklewood Broadway, NW2 3JR",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.212989317,51.55426085,0.02,unknown ownership,Yes,permissioned,full planning permission,04/11/2016,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202146093_1&activeTab=summary&previousCaseUprn=202146093&previousCaseNumber=PROPLPI_202146093_1&keyVal=DCAPR_118224,,5,"Conversion of existing rear ground, 1st and 2nd floors of building to 5 self contained flats (1x3bed,3x2bed & 1x1bed); with demolition of existing rear office and erection of a part single and part 2 storey rear extension, a Mansard roof extension with part 2nd floor roof extension, provision of 1 car parking space, cycle parking, a new front boundary wall with railings, bin storage and landscaping fronting Anson Road.",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00075,,"36 London Road, HA9 7EX",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.294700356,51.55192658,0.05,unknown ownership,Yes,permissioned,full planning permission,31/12/2014,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_119050,,18,"Erection of three additional storeys with a linked seven storey rear extension to existing mixed use building incorporating offices and residential flats, to provide 9 additional self-contained flats (6 x 2bed, 2 x 3bed and 1 x 1bed), enclosed separate staircase access and associated cycle parking spaces and bin stores at basement level (", rear extension to existing mixed use building incorporating offices and residential flats,,18,18,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00077,,"19 Napier Road, HA0 4UA",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.300956823,51.55116635,0.05,unknown ownership,Yes,permissioned,full planning permission,26/02/2016,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202064953_1,,5,"Proposed removal of rear external staircase and erection of part single and part 2 storey side and rear extensions, rear roof extensions, installation of x7 rooflights and conversion of the 2 flats into 5 self-contained flats (3x1bed, 1x2bed and 1x3bed) with associated external alterations to the bay window, provision of car and cycle parking, refuse storage, new brick boundary wall and metal gate and hard and soft landscaping works to frontage (as amended) (parking permit / car free development).",,,5,5,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00078,,"Willesden Working Mens Club, 202 Villiers Road, NW2 5PU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.239578317,51.55044296,0.06,unknown ownership,Yes,permissioned,full planning permission,11/12/2015,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202034827_1,,7,"Conversion of the upper floors to create 7 self-contained flats (1x1bed, 3x2bed and 3x3bed) comprising the creation of a mezzanine level within the rear hall with associated rear and side elevation windows and rooflights, first floor side infill extension, replacement front entrance door, cycle parking spaces and bin stores",,,7,7,,,,15/12/2017,15/12/2017,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00079,,"5-9 Wembley Hill Road, HA9 8AF",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.287016482,51.55376263,0.04,not owned by a public authority,Yes,permissioned,full planning permission,11/02/2016,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202032533_1&activeTab=summary&previousCaseUprn=202032533&previousCaseNumber=PROPLPI_202032533_1&keyVal=DCAPR_121907,,13,"Construction of a third and fourth floor over existing mixed used building to include a rear extension at first and second floor level and change of use of the ground floor existing A1 units (x2) and A3 unit (x1) at No 5-7 into 2 retail units (Use class A1) and the existing flats and upper floors at No 5-7 and No 9 into a total of 13 self-contained flats (6x1bed, 4x2bed and 3x3bed) with associated terraces, alterations to existing entrances, cycle parking and landscaping",2 retail units (Use class A1),,13,13,,,,15/12/2017,15/12/2017,,,
