OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0044,,"Shanon Centre, 14 Cameron Road, Seven Kings",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0044,WGS84,0.096924,51.564671,0.08,Not owned by a public authority,Yes,Permissioned,Full planning permission,26/02/2015,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,32,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 0951/13 - Local Plan allocation site number: 53,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0045,,"Former Lord Napier Pub, 521 Green Lane",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0045,WGS84,0.10887,51.563245,0.09,Not owned by a public authority,Yes,Permissioned,Full planning permission,17/08/2016,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,31,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2537/15 - Local Plan allocation site number: 54,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0046,,463 High Road,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0046,WGS84,0.087628,51.562114,0.1,Not owned by a public authority,Yes,Pending decision,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,25,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Refused planning application - 2002/14 - Appeal to be heard in Autumn 2017 - Local Plan allocation site number: 55,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0047,,25-31 Goodmayes Road,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0047,WGS84,0.110703,51.565922,0.05,Unknown ownership,Yes,Permissioned,Full planning permission,10/12/2013,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,16,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 0582/13 - Local Plan allocation site number: 57,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0048,,"Seven Kings Methodist Church and Hall, Balmoral Gardens, Seven Kings",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0048,WGS84,0.098046,51.563289,0.04,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,6.12,Community/Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 58,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0049,,"58-64 Goodmayes Road, Goodmayes",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0049,WGS84,0.110111,51.565045,0.07,Unknown ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,13,Retail/ Housing,Retail floorspace: 170 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 59,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0050,,"123 Francis Avenue, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0050,WGS84,0.088514,51.562778,0.05,Unknown ownership,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,5,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 60,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0051,,"Balfour House, 394-398 High Road Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0051,WGS84,0.08549,51.561101,0.23,Unknown ownership,Yes,Permissioned,Full planning permission,27/09/2012,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,5,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2429/12 - Local Plan allocation site number: 62,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0052,,45 Barley Lane,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0052,WGS84,0.111152,51.569662,0.06,Unknown ownership,Yes,Permissioned,Full planning permission,22/12/2015,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,5,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2914/15 - Local Plan allocation site number: 63,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0053,,"1145 High Road, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0053,WGS84,0.126708,51.570232,0.15,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,27,Retail/Housing,Retail floorspace: 400 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 65,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0054,,"822  High Road, Goodmayes",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0054,WGS84,0.113445,51.566646,3.76,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,723,Housing/Education/Retail,"Retail floorspace: 2,500 sq.m Education: Primary School",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 67,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0055,,"645 � 861 High Road, Seven Kings",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0055,WGS84,0.101937,51.565297,1.37,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,233,Retail/Housing,"Retail floorspace: 4, 500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 68,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0056,,"Chadwell Heath  Retail Park, High Road, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0056,WGS84,0.122429,51.569936,1.5,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,135,Housing/ Retail,"Retail floorspace: 2, 500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 69,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0057,,"Goodmayes Retail Park, High Road, Goodmayes",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0057,WGS84,0.117367,51.567244,2.74,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,514,Retail/Housing/Health,"Retail floorspace: 500 sq.m Health floorspace: 2,500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 70,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0058,,"674-700 High Road, Seven Kings",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0058,WGS84,0.103817,51.565063,1.06,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,170,Retail/Employment/Housing,"Retail floorspace: 1,000 sq.m Employment floorspace: 2, 650 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 72,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0059,,"706 - 720 High Road, Seven Kings",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0059,WGS84,0.106073,51.56537,1.04,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,179,Retail/ Housing,"Retail floorspace: 2,500 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 73,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0060,,"Metropolitan Police, 919 - 925 High Road, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0060,WGS84,0.118333,51.568912,0.91,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,73,Employment/ Housing,Employment floorspace: 2275 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 74,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0061,,"Land at Newbury Park Station, Eastern Avenue",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0061,WGS84,0.090669,51.576635,0.54,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,72,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 75,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0062,,"B&Q Store, Springfield Drive, Barkingside",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0062,WGS84,0.082119,51.574277,0.59,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,64,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 76,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0063,,4-12 Cameron Road and 625-643 High Road,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0063,WGS84,0.097584,51.564601,0.43,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,73,Housing/Retail,"Retail floorspace: 1, 400 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 77,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0064,,"Car Park and Works, corner of Cedar Park Gardens and Wangey Road, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0064,WGS84,0.129476,51.569186,0.29,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,32,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 78,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0065,,"Dunelm Nursing Home and Grovelands Day Centre, Grove Road, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0065,WGS84,0.121209,51.577155,0.69,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,63,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 79,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0066,,"530-562 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0066,WGS84,0.093277,51.562951,0.3,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,19,Housing/Retail,Retail floorspace:1200 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 80,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0067,,"573-603 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0067,WGS84,0.09339,51.563355,0.3,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,20,Housing/ Retail,"Retail floorspace: 1, 100 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 81,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0068,,"Telephone Exchange, Corner of Kingswood Road and High Road, Goodmayes",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0068,WGS84,0.107464,51.566368,0.14,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,17,Housing,0,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 82,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0069,,"55 - 61 Goodmayes Road, Goodmayes",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0069,WGS84,0.110712,51.564008,0.13,Unknown ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,21,Retail/ Housing,Retail floorspace: 500 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 83,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0070,,16 -32B Cameron Road,https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0070,WGS84,0.096479,51.564574,0.21,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,23,Housing/Retail,Retail floorspace: 720 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 84,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0071,,"1171 High Road, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0071,WGS84,0.12764,51.570363,0.12,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,19,Retail/ Housing,Retail floorspace: 500 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 85,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0072,,"Car Park adj. To Chadwell Heath Stn, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0072,WGS84,0.129267,51.567425,0.43,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,41,Housing,Retail floorspace: 500 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 86,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0073,,"Ilford County Court, High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0073,WGS84,0.086821,51.561351,0.14,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,15,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 88,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0074,,"Car Park rear of 39 Goodmayes Road, Goodmayes",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0074,WGS84,0.111054,51.565236,0.2,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,25,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 90,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0075,,"Hinds Head PH, 2A Burnside Road and 76-80 Valance Avenue, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0075,WGS84,0.129319,51.566799,0.11,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,12,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 91,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0076,,"Corner of Wangey Road and Station Road, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0076,WGS84,0.130022,51.569611,0.08,Owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,8,Housing/ Retail,Retail floorspace: 200 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 92,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0077,,"395-405 High Road, Ilford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0077,WGS84,0.083671,51.561306,0.07,Unknown ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,9,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 93,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0078,,617-631 Eastern Avenue (Junction Yoxley Drive),https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0078,WGS84,0.079854,51.57439,0.05,Unknown ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,5,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 94,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0079,,"8a Cedar Park Gardens, Chadwell Heath",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0079,WGS84,0.128184,51.569658,0.03,Unknown ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,6,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 95,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0080,,"Suffolk Court, Newbury Park",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0080,WGS84,0.096624,51.575601,0.57,Owned by a public authority,Yes,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,15,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 96,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0081,,"Aerodene House, 41-55 Perth Road, Gants Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0081,WGS84,0.067168,51.575965,0.16,Not owned by a public authority,Yes,Permissioned,Full planning permission,04/07/2016,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,57,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 1961/16 - Local Plan allocation site number: 101,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0082,,"Woodford Avenue/Eastern Avenue Corner, Gants Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0082,WGS84,0.065197,51.577165,0.53,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,113,Retail/Housing,"Retail floorspace: 1, 000 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 103,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0083,,"Eastern Avenue Storage Buildings, Eastern Avenue, Gants Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0083,WGS84,0.062562,51.576178,0.41,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,51,Employment/Retail/Housing,"Retail floorspace: 2, 000 sq.m Employment floorspace: 1,025 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 104,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0084,,"Woodford Avenue/Cranbrook Road,  Gants Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0084,WGS84,0.066876,51.577131,0.34,Mixed ownership,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,68,Retail/Housing,"Retail floorspace: 1, 000 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 105,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0085,,"Wentworth House, Eastern Avenue, Gants Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0085,WGS84,0.061331,51.576306,0.3,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,37,Retail/Housing/Employment,"Retail floorspace: 1, 500 sq.m Employment floorspace: 750 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 106,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0086,,"Commercial House, Eastern Avenue, Gants Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0086,WGS84,0.063951,51.576114,0.17,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,26,Retail/Employment/Housing,Retail floorspace: 800 sq.m Employment floorspace: 425 sq.m,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 107,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0087,,"Montrose House, Eastern Avenue, Gants Hill",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0087,WGS84,0.06431,51.576139,0.16,Not owned by a public authority,,Not permissioned,,,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,21,Retail/Employment/Housing,"Retail floorspace: 1, 000 sq.m Employment floorspace: 400 sq.m",,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Local Plan allocation site number: 108,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0088,,"27 Glebelands Avenue, South Woodford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0088,WGS84,0.023438,51.592861,0.05,Not owned by a public authority,Yes,Permissioned,Full planning permission,28/02/2013,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,7,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2867/09 - Local Plan allocation site number: 111,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0089,,"Rear of 127 High Road, South Woodford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0089,WGS84,0.020914,51.596465,0.08,Not owned by a public authority,Yes,Permissioned,Full planning permission,05/02/2016,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,8,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 4886/15 - Local Plan allocation site number: 112,31/12/2017,31/12/2017
http://opendatacommunities.org/id/london-borough-council/redbridge,London Borough of Redbridge,BRLBR0090,,"Eaton Court, High Road South Woodford",https://my.redbridge.gov.uk/map/brownfield-land-register/BRLBR0090,WGS84,0.020742,51.595281,0.06,Not owned by a public authority,Yes,Permissioned,Full planning permission,26/11/2015,http://planning.redbridge.gov.uk/swiftlg/apas/run/wphappcriteria.display,,6,Housing,,,,,,https://www.redbridge.gov.uk/media/3988/lbr-2061-revised-appendix-1-development-opportunity-sites-august-2017.pdf,Approved Planning Application - 2487/15 - Local Plan allocation site number: 113,31/12/2017,31/12/2017
